key,project,sprint.completeDate,sprint.endDate,sprint.id,sprint.name,sprint.startDate,sprint.state
XD-3687,xd,2015-11-13T23:57:28.407Z,2015-11-14T00:37:00.000Z,101,Sprint 61,2015-11-02T17:41:25.157Z,CLOSED
XD-3685,xd,2015-11-13T23:57:28.407Z,2015-11-14T00:37:00.000Z,101,Sprint 61,2015-11-02T17:41:25.157Z,CLOSED
XD-3684,xd,2015-11-13T23:57:28.407Z,2015-11-14T00:37:00.000Z,101,Sprint 61,2015-11-02T17:41:25.157Z,CLOSED
XD-3683,xd,2015-11-13T23:57:28.407Z,2015-11-14T00:37:00.000Z,101,Sprint 61,2015-11-02T17:41:25.157Z,CLOSED
XD-3673,xd,2015-11-27T16:05:59.762Z,2015-11-27T17:06:00.000Z,102,Sprint 62,2015-11-16T16:10:26.278Z,CLOSED
XD-3672,xd,2015-12-12T19:43:32.212Z,2015-12-11T17:28:00.000Z,103,Sprint 63,2015-11-30T16:32:01.258Z,CLOSED
XD-3670,xd,2015-11-13T23:57:28.407Z,2015-11-14T00:37:00.000Z,101,Sprint 61,2015-11-02T17:41:25.157Z,CLOSED
XD-3669,xd,2015-11-27T16:05:59.762Z,2015-11-27T17:06:00.000Z,102,Sprint 62,2015-11-16T16:10:26.278Z,CLOSED
XD-3655,xd,2015-10-30T23:14:25.934Z,2015-10-31T00:00:00.000Z,99,Sprint 60,2015-10-19T17:04:56.465Z,CLOSED
XD-3654,xd,2015-10-30T23:14:25.934Z,2015-10-31T00:00:00.000Z,99,Sprint 60,2015-10-19T17:04:56.465Z,CLOSED
XD-3652,xd,2015-11-27T16:05:59.762Z,2015-11-27T17:06:00.000Z,102,Sprint 62,2015-11-16T16:10:26.278Z,CLOSED
XD-3648,xd,2015-10-30T23:14:25.934Z,2015-10-31T00:00:00.000Z,99,Sprint 60,2015-10-19T17:04:56.465Z,CLOSED
XD-3645,xd,2015-11-13T23:57:28.407Z,2015-11-14T00:37:00.000Z,101,Sprint 61,2015-11-02T17:41:25.157Z,CLOSED
XD-3644,xd,2015-10-30T23:14:25.934Z,2015-10-31T00:00:00.000Z,99,Sprint 60,2015-10-19T17:04:56.465Z,CLOSED
XD-3641,xd,2015-10-30T23:14:25.934Z,2015-10-31T00:00:00.000Z,99,Sprint 60,2015-10-19T17:04:56.465Z,CLOSED
XD-3637,xd,2015-10-30T23:14:25.934Z,2015-10-31T00:00:00.000Z,99,Sprint 60,2015-10-19T17:04:56.465Z,CLOSED
XD-3636,xd,2015-10-30T23:14:25.934Z,2015-10-31T00:00:00.000Z,99,Sprint 60,2015-10-19T17:04:56.465Z,CLOSED
XD-3633,xd,2015-10-30T23:14:25.934Z,2015-10-31T00:00:00.000Z,99,Sprint 60,2015-10-19T17:04:56.465Z,CLOSED
XD-3632,xd,2015-10-30T23:14:25.934Z,2015-10-31T00:00:00.000Z,99,Sprint 60,2015-10-19T17:04:56.465Z,CLOSED
XD-3627,xd,2015-10-30T23:14:25.934Z,2015-10-31T00:00:00.000Z,99,Sprint 60,2015-10-19T17:04:56.465Z,CLOSED
XD-3622,xd,2015-10-30T23:14:25.934Z,2015-10-31T00:00:00.000Z,99,Sprint 60,2015-10-19T17:04:56.465Z,CLOSED
XD-3621,xd,2015-11-13T23:57:28.407Z,2015-11-14T00:37:00.000Z,101,Sprint 61,2015-11-02T17:41:25.157Z,CLOSED
XD-3619,xd,2015-10-30T23:14:25.934Z,2015-10-31T00:00:00.000Z,99,Sprint 60,2015-10-19T17:04:56.465Z,CLOSED
XD-3617,xd,2015-10-16T23:16:16.045Z,2015-10-17T00:44:00.000Z,98,Sprint 59,2015-10-05T16:54:14.761Z,CLOSED
XD-3610,xd,2015-11-27T16:05:59.762Z,2015-11-27T17:06:00.000Z,102,Sprint 62,2015-11-16T16:10:26.278Z,CLOSED
XD-3603,xd,2015-10-16T23:16:16.045Z,2015-10-17T00:44:00.000Z,98,Sprint 59,2015-10-05T16:54:14.761Z,CLOSED
XD-3602,xd,2015-10-16T23:16:16.045Z,2015-10-17T00:44:00.000Z,98,Sprint 59,2015-10-05T16:54:14.761Z,CLOSED
XD-3601,xd,2015-10-30T23:14:25.934Z,2015-10-31T00:00:00.000Z,99,Sprint 60,2015-10-19T17:04:56.465Z,CLOSED
XD-3598,xd,2015-10-30T23:14:25.934Z,2015-10-31T00:00:00.000Z,99,Sprint 60,2015-10-19T17:04:56.465Z,CLOSED
XD-3597,xd,2015-10-16T23:16:16.045Z,2015-10-17T00:44:00.000Z,98,Sprint 59,2015-10-05T16:54:14.761Z,CLOSED
XD-3596,xd,2015-10-16T23:16:16.045Z,2015-10-17T00:44:00.000Z,98,Sprint 59,2015-10-05T16:54:14.761Z,CLOSED
XD-3595,xd,2015-10-16T23:16:16.045Z,2015-10-17T00:44:00.000Z,98,Sprint 59,2015-10-05T16:54:14.761Z,CLOSED
XD-3594,xd,2015-10-16T23:16:16.045Z,2015-10-17T00:44:00.000Z,98,Sprint 59,2015-10-05T16:54:14.761Z,CLOSED
XD-3593,xd,2015-10-30T23:14:25.934Z,2015-10-31T00:00:00.000Z,99,Sprint 60,2015-10-19T17:04:56.465Z,CLOSED
XD-3589,xd,2015-10-30T23:14:25.934Z,2015-10-31T00:00:00.000Z,99,Sprint 60,2015-10-19T17:04:56.465Z,CLOSED
XD-3582,xd,2015-10-30T23:14:25.934Z,2015-10-31T00:00:00.000Z,99,Sprint 60,2015-10-19T17:04:56.465Z,CLOSED
XD-3581,xd,2015-10-16T23:16:16.045Z,2015-10-17T00:44:00.000Z,98,Sprint 59,2015-10-05T16:54:14.761Z,CLOSED
XD-3576,xd,2015-10-30T23:14:25.934Z,2015-10-31T00:00:00.000Z,99,Sprint 60,2015-10-19T17:04:56.465Z,CLOSED
XD-3575,xd,2015-10-30T23:14:25.934Z,2015-10-31T00:00:00.000Z,99,Sprint 60,2015-10-19T17:04:56.465Z,CLOSED
XD-3574,xd,2015-10-30T23:14:25.934Z,2015-10-31T00:00:00.000Z,99,Sprint 60,2015-10-19T17:04:56.465Z,CLOSED
XD-3573,xd,2015-10-30T23:14:25.934Z,2015-10-31T00:00:00.000Z,99,Sprint 60,2015-10-19T17:04:56.465Z,CLOSED
XD-3571,xd,2015-11-13T23:57:28.407Z,2015-11-14T00:37:00.000Z,101,Sprint 61,2015-11-02T17:41:25.157Z,CLOSED
XD-3570,xd,2015-10-30T23:14:25.934Z,2015-10-31T00:00:00.000Z,99,Sprint 60,2015-10-19T17:04:56.465Z,CLOSED
XD-3569,xd,2015-10-30T23:14:25.934Z,2015-10-31T00:00:00.000Z,99,Sprint 60,2015-10-19T17:04:56.465Z,CLOSED
XD-3568,xd,2015-10-16T23:16:16.045Z,2015-10-17T00:44:00.000Z,98,Sprint 59,2015-10-05T16:54:14.761Z,CLOSED
XD-3567,xd,2015-10-03T00:12:14.092Z,2015-10-03T00:51:00.000Z,96,Sprint 58,2015-09-21T17:01:06.207Z,CLOSED
XD-3566,xd,2015-10-03T00:12:14.092Z,2015-10-03T00:51:00.000Z,96,Sprint 58,2015-09-21T17:01:06.207Z,CLOSED
XD-3560,xd,2015-10-03T00:12:14.092Z,2015-10-03T00:51:00.000Z,96,Sprint 58,2015-09-21T17:01:06.207Z,CLOSED
XD-3559,xd,2015-10-30T23:14:25.934Z,2015-10-31T00:00:00.000Z,99,Sprint 60,2015-10-19T17:04:56.465Z,CLOSED
XD-3558,xd,2015-10-30T23:14:25.934Z,2015-10-31T00:00:00.000Z,99,Sprint 60,2015-10-19T17:04:56.465Z,CLOSED
XD-3556,xd,2015-10-16T23:16:16.045Z,2015-10-17T00:44:00.000Z,98,Sprint 59,2015-10-05T16:54:14.761Z,CLOSED
XD-3553,xd,2015-10-16T23:16:16.045Z,2015-10-17T00:44:00.000Z,98,Sprint 59,2015-10-05T16:54:14.761Z,CLOSED
XD-3508,xd,2015-10-16T23:16:16.045Z,2015-10-17T00:44:00.000Z,98,Sprint 59,2015-10-05T16:54:14.761Z,CLOSED
XD-3506,xd,2015-10-03T00:12:14.092Z,2015-10-03T00:51:00.000Z,96,Sprint 58,2015-09-21T17:01:06.207Z,CLOSED
XD-3505,xd,2015-10-03T00:12:14.092Z,2015-10-03T00:51:00.000Z,96,Sprint 58,2015-09-21T17:01:06.207Z,CLOSED
XD-3503,xd,2015-10-03T00:12:14.092Z,2015-10-03T00:51:00.000Z,96,Sprint 58,2015-09-21T17:01:06.207Z,CLOSED
XD-3502,xd,2015-10-03T00:12:14.092Z,2015-10-03T00:51:00.000Z,96,Sprint 58,2015-09-21T17:01:06.207Z,CLOSED
XD-3501,xd,2015-10-03T00:12:14.092Z,2015-10-03T00:51:00.000Z,96,Sprint 58,2015-09-21T17:01:06.207Z,CLOSED
XD-3493,xd,2015-10-03T00:12:14.092Z,2015-10-03T00:51:00.000Z,96,Sprint 58,2015-09-21T17:01:06.207Z,CLOSED
XD-3492,xd,2015-10-03T00:12:14.092Z,2015-10-03T00:51:00.000Z,96,Sprint 58,2015-09-21T17:01:06.207Z,CLOSED
XD-3491,xd,2015-10-03T00:12:14.092Z,2015-10-03T00:51:00.000Z,96,Sprint 58,2015-09-21T17:01:06.207Z,CLOSED
XD-3488,xd,2015-10-03T00:12:14.092Z,2015-10-03T00:51:00.000Z,96,Sprint 58,2015-09-21T17:01:06.207Z,CLOSED
XD-3486,xd,2015-10-03T00:12:14.092Z,2015-10-03T00:51:00.000Z,96,Sprint 58,2015-09-21T17:01:06.207Z,CLOSED
XD-3482,xd,2015-11-13T23:57:28.407Z,2015-11-14T00:37:00.000Z,101,Sprint 61,2015-11-02T17:41:25.157Z,CLOSED
XD-3471,xd,2015-10-03T00:12:14.092Z,2015-10-03T00:51:00.000Z,96,Sprint 58,2015-09-21T17:01:06.207Z,CLOSED
XD-3469,xd,2015-09-17T15:27:35.028Z,2015-09-16T23:30:00.000Z,95,Sprint 57,2015-09-02T15:40:12.567Z,CLOSED
XD-3468,xd,2015-09-17T15:27:35.028Z,2015-09-16T23:30:00.000Z,95,Sprint 57,2015-09-02T15:40:12.567Z,CLOSED
XD-3466,xd,2015-09-17T15:27:35.028Z,2015-09-16T23:30:00.000Z,95,Sprint 57,2015-09-02T15:40:12.567Z,CLOSED
XD-3464,xd,2015-09-17T15:27:35.028Z,2015-09-16T23:30:00.000Z,95,Sprint 57,2015-09-02T15:40:12.567Z,CLOSED
XD-3463,xd,2015-09-17T15:27:35.028Z,2015-09-16T23:30:00.000Z,95,Sprint 57,2015-09-02T15:40:12.567Z,CLOSED
XD-3462,xd,2015-09-17T15:27:35.028Z,2015-09-16T23:30:00.000Z,95,Sprint 57,2015-09-02T15:40:12.567Z,CLOSED
XD-3461,xd,2015-09-17T15:27:35.028Z,2015-09-16T23:30:00.000Z,95,Sprint 57,2015-09-02T15:40:12.567Z,CLOSED
XD-3454,xd,2015-09-17T15:27:35.028Z,2015-09-16T23:30:00.000Z,95,Sprint 57,2015-09-02T15:40:12.567Z,CLOSED
XD-3451,xd,2015-09-17T15:27:35.028Z,2015-09-16T23:30:00.000Z,95,Sprint 57,2015-09-02T15:40:12.567Z,CLOSED
XD-3450,xd,2015-09-17T15:27:35.028Z,2015-09-16T23:30:00.000Z,95,Sprint 57,2015-09-02T15:40:12.567Z,CLOSED
XD-3447,xd,2015-09-17T15:27:35.028Z,2015-09-16T23:30:00.000Z,95,Sprint 57,2015-09-02T15:40:12.567Z,CLOSED
XD-3446,xd,2015-10-03T00:12:14.092Z,2015-10-03T00:51:00.000Z,96,Sprint 58,2015-09-21T17:01:06.207Z,CLOSED
XD-3445,xd,2015-09-01T23:35:26.223Z,2015-09-02T00:08:00.000Z,94,Sprint 56,2015-08-19T16:18:50.173Z,CLOSED
XD-3444,xd,2015-09-17T15:27:35.028Z,2015-09-16T23:30:00.000Z,95,Sprint 57,2015-09-02T15:40:12.567Z,CLOSED
XD-3436,xd,2015-09-01T23:35:26.223Z,2015-09-02T00:08:00.000Z,94,Sprint 56,2015-08-19T16:18:50.173Z,CLOSED
XD-3432,xd,2015-09-01T23:35:26.223Z,2015-09-02T00:08:00.000Z,94,Sprint 56,2015-08-19T16:18:50.173Z,CLOSED
XD-3431,xd,2015-09-01T23:35:26.223Z,2015-09-02T00:08:00.000Z,94,Sprint 56,2015-08-19T16:18:50.173Z,CLOSED
XD-3430,xd,2015-09-01T23:35:26.223Z,2015-09-02T00:08:00.000Z,94,Sprint 56,2015-08-19T16:18:50.173Z,CLOSED
XD-3429,xd,2015-09-01T23:35:26.223Z,2015-09-02T00:08:00.000Z,94,Sprint 56,2015-08-19T16:18:50.173Z,CLOSED
XD-3428,xd,2015-09-01T23:35:26.223Z,2015-09-02T00:08:00.000Z,94,Sprint 56,2015-08-19T16:18:50.173Z,CLOSED
XD-3427,xd,2015-09-01T23:35:26.223Z,2015-09-02T00:08:00.000Z,94,Sprint 56,2015-08-19T16:18:50.173Z,CLOSED
