field,fieldtype,from,fromString,to,toString,key,created,author
Fix Version,jira,11395,1.0.0.M1,,,SLICE-29,2010-02-24T01:22:21.492+0000,U2
Link,jira,,,SLICE-32,This issue depends on SLICE-32,SLICE-29,2010-02-24T01:32:12.355+0000,U2
Fix Version,jira,,,11426,Sprint 4,SLICE-29,2010-03-01T02:08:16.567+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-29,2010-03-01T02:08:16.567+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-29,2010-03-01T02:08:16.567+0000,U2
Story Points,custom,,,,4,SLICE-29,2010-03-01T02:09:19.932+0000,U2
Link,jira,SLICE-32,This issue depends on SLICE-32,,,SLICE-29,2010-03-01T02:13:42.767+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-29,2010-03-02T02:33:06.194+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-29,2010-03-03T01:22:09.767+0000,U2
resolution,jira,,,8,Complete,SLICE-29,2010-03-03T01:22:09.767+0000,U2
Workflow,jira,30574,Scrum Workflow,107760,Generic Scrum Workflow,SLICE-29,2015-01-08T13:24:37.778+0000,
Link,jira,,,SLICE-30,This issue depends on SLICE-30,SLICE-28,2010-02-24T01:15:20.272+0000,U2
Fix Version,jira,11395,1.0.0.M1,,,SLICE-28,2010-02-24T01:22:21.693+0000,U2
Fix Version,jira,11396,1.0.0.RELEASE,,,SLICE-28,2010-02-24T01:22:21.693+0000,U2
Fix Version,jira,11419,Sprint 3,,,SLICE-28,2010-02-24T01:22:21.693+0000,U2
Link,jira,,,SLICE-31,This issue depends on SLICE-31,SLICE-28,2010-02-24T01:32:45.349+0000,U2
Fix Version,jira,,,11426,Sprint 4,SLICE-28,2010-03-01T02:08:11.221+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-28,2010-03-01T02:08:11.221+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-28,2010-03-01T02:08:11.221+0000,U2
Story Points,custom,,,,4,SLICE-28,2010-03-01T02:09:06.216+0000,U2
Link,jira,SLICE-31,This issue depends on SLICE-31,,,SLICE-28,2010-03-01T02:13:30.073+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-28,2010-03-01T03:45:10.748+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-28,2010-03-02T02:31:42.028+0000,U2
resolution,jira,,,8,Complete,SLICE-28,2010-03-02T02:31:42.028+0000,U2
resolution,jira,8,Complete,,,SLICE-28,2010-03-02T21:39:49.655+0000,U2
status,jira,10001,Done,3,In Progress,SLICE-28,2010-03-02T21:39:49.655+0000,U2
resolution,jira,,,8,Complete,SLICE-28,2010-03-03T01:22:05.488+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-28,2010-03-03T01:22:05.488+0000,U2
Workflow,jira,30573,Scrum Workflow,107758,Generic Scrum Workflow,SLICE-28,2015-01-08T13:24:37.746+0000,
summary,jira,,Start each slice on a separate thread,,Start and stop each slice on a separate thread,SLICE-27,2010-02-24T01:06:22.472+0000,U2
Fix Version,jira,11419,Sprint 3,,,SLICE-27,2010-02-24T01:22:21.909+0000,U2
Fix Version,jira,11396,1.0.0.RELEASE,,,SLICE-27,2010-02-24T01:22:21.909+0000,U2
Fix Version,jira,11395,1.0.0.M1,,,SLICE-27,2010-02-24T01:22:21.909+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-27,2010-02-24T01:33:47.468+0000,U2
Fix Version,jira,,,11419,Sprint 3,SLICE-27,2010-02-24T01:33:47.468+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-27,2010-02-24T01:33:47.468+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-27,2010-02-24T01:45:37.401+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-27,2010-02-24T02:33:18.286+0000,U2
resolution,jira,,,8,Complete,SLICE-27,2010-02-24T02:33:18.286+0000,U2
Workflow,jira,30572,Scrum Workflow,107754,Generic Scrum Workflow,SLICE-27,2015-01-08T13:24:37.680+0000,
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-26,2010-02-24T01:25:04.721+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-26,2010-02-24T01:25:04.721+0000,U2
Fix Version,jira,,,11419,Sprint 3,SLICE-26,2010-02-24T01:25:04.721+0000,U2
assignee,jira,,,nebhale,Ben Hale,SLICE-26,2010-02-24T01:25:26.047+0000,U2
Story Points,custom,,,,0.5,SLICE-26,2010-02-24T01:28:02.892+0000,U2
timeoriginalestimate,jira,,,600,600,SLICE-26,2010-02-24T01:28:11.533+0000,U2
timeestimate,jira,,,600,600,SLICE-26,2010-02-24T01:28:11.533+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-26,2010-02-24T01:28:16.685+0000,U2
timeestimate,jira,600,600,0,0,SLICE-26,2010-02-24T23:06:24.538+0000,U2
timespent,jira,,,60,60,SLICE-26,2010-02-24T23:06:24.538+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-26,2010-02-24T23:06:25.350+0000,U2
resolution,jira,,,8,Complete,SLICE-26,2010-02-24T23:06:25.350+0000,U2
Workflow,jira,30557,Scrum Workflow,107763,Generic Scrum Workflow,SLICE-26,2015-01-08T13:24:37.824+0000,
Fix Version,jira,,,11395,1.0.0.M1,SLICE-25,2010-02-22T22:47:23.895+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-25,2010-02-22T22:47:23.895+0000,U2
Fix Version,jira,,,11419,Sprint 3,SLICE-25,2010-02-22T22:47:23.895+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-25,2010-02-22T23:20:52.486+0000,U2
timespent,jira,,,1200,1200,SLICE-25,2010-02-22T23:57:28.166+0000,U2
timeestimate,jira,1800,1800,600,600,SLICE-25,2010-02-22T23:57:28.166+0000,U2
timeestimate,jira,600,600,0,0,SLICE-25,2010-02-22T23:57:34.698+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-25,2010-02-22T23:57:34.840+0000,U2
resolution,jira,,,8,Complete,SLICE-25,2010-02-22T23:57:34.840+0000,U2
Workflow,jira,30553,Scrum Workflow,107738,Generic Scrum Workflow,SLICE-25,2015-01-08T13:24:37.376+0000,
Attachment,jira,,,16222,0002-SLICE-24-tidy-up-maven-build-a-bit.patch,SLICE-24,2010-02-22T22:39:21.731+0000,U3
Attachment,jira,,,16221,0001-ANT-Maven-typo.patch,SLICE-24,2010-02-22T22:39:21.731+0000,U3
Story Points,custom,,,,1,SLICE-24,2010-02-22T22:46:56.328+0000,U2
Fix Version,jira,,,11419,Sprint 3,SLICE-24,2010-02-22T22:47:23.691+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-24,2010-02-22T22:47:23.691+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-24,2010-02-22T22:47:23.691+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-24,2010-02-22T23:20:48.626+0000,U2
