field,fieldtype,from,fromString,to,toString,key,created,author
resolution,jira,,,8,Complete,SLICE-12,2010-02-21T21:45:11.882+0000,U2
Workflow,jira,30415,Scrum Workflow,107741,Generic Scrum Workflow,SLICE-12,2015-01-08T13:24:37.450+0000,
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-11,2010-02-14T22:42:26.751+0000,U2
Fix Version,jira,,,11416,Sprint 2,SLICE-11,2010-02-14T22:42:26.751+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-11,2010-02-14T22:42:26.751+0000,U2
assignee,jira,,,nebhale,Ben Hale,SLICE-11,2010-02-14T22:45:12.646+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-11,2010-02-18T21:02:37.470+0000,U2
timespent,jira,,,7200,7200,SLICE-11,2010-02-19T00:00:38.919+0000,U2
timeestimate,jira,7200,7200,0,0,SLICE-11,2010-02-19T00:00:38.919+0000,U2
resolution,jira,,,8,Complete,SLICE-11,2010-02-19T00:00:49.659+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-11,2010-02-19T00:00:49.659+0000,U2
Workflow,jira,30414,Scrum Workflow,107780,Generic Scrum Workflow,SLICE-11,2015-01-08T13:24:38.100+0000,
Fix Version,jira,,,11416,Sprint 2,SLICE-10,2010-02-14T22:42:27.249+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-10,2010-02-14T22:42:27.249+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-10,2010-02-14T22:42:27.249+0000,U2
assignee,jira,,,nebhale,Ben Hale,SLICE-10,2010-02-14T22:45:16.669+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-10,2010-02-16T01:29:16.617+0000,U2
timeestimate,jira,3600,3600,0,0,SLICE-10,2010-02-18T20:12:03.475+0000,U2
timespent,jira,,,14400,14400,SLICE-10,2010-02-18T20:12:03.475+0000,U2
timespent,jira,14400,14400,21600,21600,SLICE-10,2010-02-18T21:02:24.150+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-10,2010-02-18T21:02:32.031+0000,U2
resolution,jira,,,8,Complete,SLICE-10,2010-02-18T21:02:32.031+0000,U2
Workflow,jira,30413,Scrum Workflow,107739,Generic Scrum Workflow,SLICE-10,2015-01-08T13:24:37.418+0000,
Fix Version,jira,,,11416,Sprint 2,SLICE-9,2010-02-14T22:42:26.999+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-9,2010-02-14T22:42:26.999+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-9,2010-02-14T22:42:26.999+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-9,2010-02-16T01:29:05.949+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-9,2010-02-19T00:00:57.697+0000,U2
resolution,jira,,,8,Complete,SLICE-9,2010-02-19T00:00:57.697+0000,U2
Workflow,jira,30412,Scrum Workflow,107782,Generic Scrum Workflow,SLICE-9,2015-01-08T13:24:38.134+0000,
timeestimate,jira,,,14400,14400,SLICE-8,2010-02-14T22:33:24.793+0000,U2
timeoriginalestimate,jira,,,14400,14400,SLICE-8,2010-02-14T22:33:24.793+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-8,2010-02-14T22:42:27.438+0000,U2
Fix Version,jira,,,11416,Sprint 2,SLICE-8,2010-02-14T22:42:27.438+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-8,2010-02-14T22:42:27.438+0000,U2
Fix Version,jira,11396,1.0.0.RELEASE,,,SLICE-8,2010-02-14T22:43:39.781+0000,U2
Fix Version,jira,11416,Sprint 2,,,SLICE-8,2010-02-14T22:43:39.781+0000,U2
Fix Version,jira,11395,1.0.0.M1,,,SLICE-8,2010-02-14T22:43:39.781+0000,U2
assignee,jira,,,nebhale,Ben Hale,SLICE-8,2010-02-14T22:45:20.910+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-8,2010-02-21T19:45:57.683+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-8,2010-02-21T19:45:57.683+0000,U2
Fix Version,jira,,,11419,Sprint 3,SLICE-8,2010-02-21T19:45:57.683+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-8,2010-02-21T21:45:41.475+0000,U2
timeestimate,jira,14400,14400,10800,10800,SLICE-8,2010-02-22T01:57:48.256+0000,U2
timespent,jira,,,14400,14400,SLICE-8,2010-02-22T01:57:48.256+0000,U2
timespent,jira,14400,14400,28800,28800,SLICE-8,2010-02-22T23:20:25.157+0000,U2
timeestimate,jira,10800,10800,0,0,SLICE-8,2010-02-22T23:20:25.157+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-8,2010-02-22T23:20:33.985+0000,U2
resolution,jira,,,8,Complete,SLICE-8,2010-02-22T23:20:33.985+0000,U2
Workflow,jira,30411,Scrum Workflow,107810,Generic Scrum Workflow,SLICE-8,2015-01-08T13:24:38.547+0000,
timeestimate,jira,,,7200,7200,SLICE-7,2010-02-14T22:31:09.344+0000,U2
timeoriginalestimate,jira,,,7200,7200,SLICE-7,2010-02-14T22:31:09.344+0000,U2
Fix Version,jira,,,11416,Sprint 2,SLICE-7,2010-02-14T22:42:27.686+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-7,2010-02-14T22:42:27.686+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-7,2010-02-14T22:42:27.686+0000,U2
assignee,jira,,,nebhale,Ben Hale,SLICE-7,2010-02-14T22:45:25.609+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-7,2010-02-15T02:29:28.240+0000,U2
timespent,jira,,,3600,3600,SLICE-7,2010-02-15T03:41:53.005+0000,U2
timeestimate,jira,7200,7200,14400,14400,SLICE-7,2010-02-15T03:41:53.005+0000,U2
timeestimate,jira,14400,14400,0,0,SLICE-7,2010-02-16T01:27:58.629+0000,U2
timespent,jira,3600,3600,18000,18000,SLICE-7,2010-02-16T01:27:58.629+0000,U2
resolution,jira,,,8,Complete,SLICE-7,2010-02-16T01:28:09.175+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-7,2010-02-16T01:28:09.175+0000,U2
Workflow,jira,30410,Scrum Workflow,107762,Generic Scrum Workflow,SLICE-7,2015-01-08T13:24:37.806+0000,
timeoriginalestimate,jira,,,14400,14400,SLICE-6,2010-02-14T22:30:51.901+0000,U2
timeestimate,jira,,,14400,14400,SLICE-6,2010-02-14T22:30:51.901+0000,U2
timeoriginalestimate,jira,14400,14400,10800,10800,SLICE-6,2010-02-14T22:39:30.156+0000,U2
timeestimate,jira,14400,14400,10800,10800,SLICE-6,2010-02-14T22:39:30.156+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-6,2010-02-14T22:42:27.980+0000,U2
Fix Version,jira,,,11416,Sprint 2,SLICE-6,2010-02-14T22:42:27.980+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-6,2010-02-14T22:42:27.980+0000,U2
assignee,jira,,,nebhale,Ben Hale,SLICE-6,2010-02-14T22:44:38.380+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-6,2010-02-14T23:26:15.704+0000,U2
timespent,jira,,,10800,10800,SLICE-6,2010-02-15T02:29:12.836+0000,U2
timeestimate,jira,10800,10800,0,0,SLICE-6,2010-02-15T02:29:12.836+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-6,2010-02-15T02:29:21.619+0000,U2
resolution,jira,,,8,Complete,SLICE-6,2010-02-15T02:29:21.619+0000,U2
Workflow,jira,30409,Scrum Workflow,107764,Generic Scrum Workflow,SLICE-6,2015-01-08T13:24:37.839+0000,
Story Points,custom,,,,8,SLICE-5,2010-02-14T21:47:42.780+0000,U2
Story Points,custom,,8,,5,SLICE-5,2010-02-14T22:39:07.297+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-5,2010-02-14T22:42:28.796+0000,U2
Fix Version,jira,,,11416,Sprint 2,SLICE-5,2010-02-14T22:42:28.796+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-5,2010-02-14T22:42:28.796+0000,U2
Fix Version,jira,11395,1.0.0.M1,,,SLICE-5,2010-02-14T22:43:39.961+0000,U2
Fix Version,jira,11396,1.0.0.RELEASE,,,SLICE-5,2010-02-14T22:43:39.961+0000,U2
Fix Version,jira,11416,Sprint 2,,,SLICE-5,2010-02-14T22:43:39.961+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-5,2010-02-21T19:45:58.069+0000,U2
Fix Version,jira,,,11419,Sprint 3,SLICE-5,2010-02-21T19:45:58.069+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-5,2010-02-21T19:45:58.069+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-5,2010-02-21T21:45:34.696+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-5,2010-02-22T23:20:40.786+0000,U2
resolution,jira,,,8,Complete,SLICE-5,2010-02-22T23:20:40.786+0000,U2
Workflow,jira,30406,Scrum Workflow,107770,Generic Scrum Workflow,SLICE-5,2015-01-08T13:24:37.944+0000,
Story Points,custom,,,,5,SLICE-4,2010-02-14T21:47:32.101+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-4,2010-02-14T22:42:29.466+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-4,2010-02-14T22:42:29.466+0000,U2
Fix Version,jira,,,11416,Sprint 2,SLICE-4,2010-02-14T22:42:29.466+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-4,2010-02-14T23:21:31.471+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-4,2010-02-16T01:28:16.741+0000,U2
resolution,jira,,,8,Complete,SLICE-4,2010-02-16T01:28:16.741+0000,U2
Workflow,jira,30405,Scrum Workflow,107783,Generic Scrum Workflow,SLICE-4,2015-01-08T13:24:38.149+0000,
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-3,2010-02-08T22:58:12.398+0000,U2
Fix Version,jira,,,11394,Sprint 1,SLICE-3,2010-02-08T22:58:12.398+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-3,2010-02-08T22:58:12.398+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-3,2010-02-08T23:01:46.841+0000,U2
timespent,jira,,,900,900,SLICE-3,2010-02-08T23:02:34.754+0000,U2
timeestimate,jira,3600,3600,2700,2700,SLICE-3,2010-02-08T23:02:34.754+0000,U2
timeestimate,jira,2700,2700,0,0,SLICE-3,2010-02-08T23:02:45.245+0000,U2
resolution,jira,,,8,Complete,SLICE-3,2010-02-08T23:02:45.367+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-3,2010-02-08T23:02:45.367+0000,U2
assignee,jira,,,nebhale,Ben Hale,SLICE-3,2010-02-14T22:44:20.059+0000,U2
Workflow,jira,30316,Scrum Workflow,107776,Generic Scrum Workflow,SLICE-3,2015-01-08T13:24:38.029+0000,
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-2,2010-02-08T22:58:11.893+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-2,2010-02-08T22:58:11.893+0000,U2
Fix Version,jira,,,11394,Sprint 1,SLICE-2,2010-02-08T22:58:11.893+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-2,2010-02-08T23:01:41.570+0000,U2
timeestimate,jira,14400,14400,7200,7200,SLICE-2,2010-02-08T23:02:03.088+0000,U2
timespent,jira,,,7200,7200,SLICE-2,2010-02-08T23:02:03.088+0000,U2
timespent,jira,7200,7200,14400,14400,SLICE-2,2010-02-08T23:02:11.891+0000,U2
timeestimate,jira,7200,7200,0,0,SLICE-2,2010-02-08T23:02:11.891+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-2,2010-02-08T23:02:21.742+0000,U2
resolution,jira,,,8,Complete,SLICE-2,2010-02-08T23:02:21.742+0000,U2
Comment,jira,This is a test comment,,,,SLICE-2,2010-02-10T20:50:25.595+0000,U2
Workflow,jira,30315,Scrum Workflow,107737,Generic Scrum Workflow,SLICE-2,2015-01-08T13:24:37.345+0000,
Story Points,custom,,,,2,SLICE-1,2010-02-08T22:56:53.419+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-1,2010-02-08T22:58:12.229+0000,U2
Fix Version,jira,,,11394,Sprint 1,SLICE-1,2010-02-08T22:58:12.229+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-1,2010-02-08T22:58:12.229+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-1,2010-02-08T23:03:25.985+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-1,2010-02-08T23:03:32.016+0000,U2
resolution,jira,,,8,Complete,SLICE-1,2010-02-08T23:03:32.016+0000,U2
Workflow,jira,30314,Scrum Workflow,107753,Generic Scrum Workflow,SLICE-1,2015-01-08T13:24:37.666+0000,
