key,delay_nr,fields.resolutiondate,
MULE-8292,1,2015-02-09 20:10:56+00:00,
MULE-8265,1,2015-05-05 17:14:22+00:00,
MULE-8257,1,2015-02-09 19:14:45+00:00,
MULE-8247,1,2015-02-09 19:01:57+00:00,
MULE-8229,1,2015-01-16 17:35:18+00:00,
MULE-8216,1,2015-04-13 14:56:14+00:00,
MULE-8212,1,2015-01-08 18:26:05+00:00,
MULE-8206,1,2015-01-08 18:52:51+00:00,
MULE-8197,1,2015-01-08 18:59:24+00:00,
MULE-8184,1,2015-02-11 14:43:59+00:00,
MULE-8170,1,2015-01-08 18:59:48+00:00,
MULE-8163,1,2015-07-30 14:17:14+00:00,
MULE-8157,1,2015-03-03 18:28:22+00:00,
MULE-8142,1,2014-12-19 18:30:45+00:00,
MULE-8136,1,2014-12-30 18:57:08+00:00,
MULE-8132,1,2014-12-22 16:32:15+00:00,
MULE-8127,1,2014-12-22 13:50:24+00:00,
MULE-8117,1,2014-12-10 13:59:29+00:00,
MULE-8115,1,2015-01-06 18:31:17+00:00,
MULE-8114,1,2014-12-12 15:11:00+00:00,
MULE-8081,1,2015-04-08 17:38:33+00:00,
MULE-8075,1,2014-12-16 18:50:07+00:00,
MULE-8039,1,2015-02-11 14:15:04+00:00,
MULE-7992,1,2014-11-07 20:40:16+00:00,
MULE-7989,1,2015-05-27 17:37:17+00:00,
MULE-7972,1,2014-11-13 18:51:59+00:00,
MULE-7929,1,2014-10-24 17:02:02+00:00,
MULE-7917,1,2015-04-08 17:45:55+00:00,
MULE-7876,1,2014-09-25 15:16:31+00:00,
MULE-7875,1,2015-01-22 15:50:34+00:00,
MULE-7870,1,2014-11-12 20:54:27+00:00,
MULE-7865,1,2014-11-16 23:26:52+00:00,
MULE-7842,1,2014-08-29 20:48:12+00:00,
MULE-7835,1,2015-08-14 18:40:09+00:00,
MULE-7808,1,2015-03-16 20:08:55+00:00,
MULE-7789,1,2015-03-19 13:40:27+00:00,
MULE-7787,1,2014-08-29 15:13:48+00:00,
MULE-7774,1,2014-08-19 14:35:27+00:00,
MULE-7769,1,2014-07-31 19:22:47+00:00,
MULE-7758,1,2015-08-14 18:37:07+00:00,
MULE-7757,1,2015-08-14 18:36:32+00:00,
MULE-7756,1,2015-08-14 18:36:03+00:00,
MULE-7741,1,2014-09-17 13:19:53+00:00,
MULE-7723,1,2015-08-14 18:40:40+00:00,
MULE-7663,1,2015-12-03 15:42:40+00:00,
MULE-7646,1,2014-07-24 18:21:59+00:00,
MULE-7642,1,2014-06-10 13:06:52+00:00,
MULE-7638,1,2014-06-04 20:38:37+00:00,
MULE-7637,1,2014-06-16 18:24:22+00:00,
MULE-7620,1,2014-07-11 17:05:18+00:00,
MULE-7611,1,2014-12-22 19:07:11+00:00,
MULE-7594,1,2014-05-16 15:29:45+00:00,
MULE-7593,1,2014-05-16 15:38:56+00:00,
MULE-7588,1,2015-03-13 11:24:33+00:00,
MULE-7575,1,2015-03-17 14:01:52+00:00,
MULE-7557,1,2015-01-06 14:46:47+00:00,
MULE-7524,1,2014-05-12 14:58:57+00:00,
MULE-7497,1,2015-08-14 18:42:33+00:00,
MULE-7485,1,2014-11-06 10:32:44+00:00,
MULE-7473,1,2015-08-14 18:38:02+00:00,
MULE-7463,1,2014-09-18 19:15:40+00:00,
MULE-7462,1,2014-04-14 12:23:14+00:00,
MULE-7431,1,2014-04-07 18:04:47+00:00,
MULE-7429,1,2014-03-28 18:25:23+00:00,
MULE-7428,1,2014-04-01 18:07:33+00:00,
MULE-7425,1,2014-03-12 20:25:50+00:00,
MULE-7419,1,2014-03-31 13:11:26+00:00,
MULE-7407,1,2015-01-28 18:08:49+00:00,
MULE-7382,1,2014-02-26 18:26:27+00:00,
MULE-7367,1,2014-04-09 12:42:05+00:00,
MULE-7366,1,2014-03-25 19:33:07+00:00,
MULE-7364,1,2014-04-01 18:10:19+00:00,
MULE-7318,1,2014-05-22 14:25:42+00:00,
MULE-7313,1,2014-03-13 16:19:46+00:00,
MULE-7296,1,2014-04-09 17:24:59+00:00,
MULE-7293,1,2014-02-18 21:18:28+00:00,
MULE-7288,1,2014-02-20 14:18:17+00:00,
MULE-7286,1,2014-02-18 18:05:54+00:00,
MULE-7285,1,2014-02-18 18:04:42+00:00,
MULE-7283,1,2014-02-18 18:03:07+00:00,
