key,bugnr,fields.created,
XD-2924,1,2015-04-07T18:56:14.000+0000,
XD-2923,1,2015-04-07T18:10:37.000+0000,
XD-2912,1,2015-04-06T08:46:27.000+0000,
XD-2873,1,2015-03-26T11:59:20.000+0000,
XD-2872,1,2015-03-26T09:54:14.000+0000,
XD-2865,1,2015-03-25T13:45:35.000+0000,
XD-2861,1,2015-03-25T00:32:04.000+0000,
XD-2854,1,2015-03-23T15:26:24.000+0000,
XD-2853,1,2015-03-23T14:45:50.000+0000,
XD-2842,1,2015-03-20T21:39:33.000+0000,
XD-2837,1,2015-03-20T11:29:00.000+0000,
XD-2828,1,2015-03-17T18:32:23.000+0000,
XD-2824,1,2015-03-16T11:55:58.000+0000,
XD-2817,1,2015-03-13T11:07:02.000+0000,
XD-2812,1,2015-03-12T06:51:14.000+0000,
XD-2811,1,2015-03-11T14:16:12.000+0000,
XD-2806,1,2015-03-10T15:16:27.000+0000,
XD-2804,1,2015-03-10T09:35:53.000+0000,
XD-2789,1,2015-03-05T17:59:14.000+0000,
XD-2783,1,2015-03-05T08:38:53.000+0000,
XD-2782,1,2015-03-05T08:36:04.000+0000,
XD-2781,1,2015-03-05T08:27:27.000+0000,
XD-2780,1,2015-03-05T08:05:09.000+0000,
XD-2779,1,2015-03-04T16:26:28.000+0000,
XD-2774,1,2015-03-03T09:20:44.000+0000,
XD-2773,1,2015-03-03T07:07:55.000+0000,
XD-2771,1,2015-03-03T05:24:42.000+0000,
XD-2769,1,2015-03-02T10:51:18.000+0000,
XD-2767,1,2015-03-02T06:17:55.000+0000,
XD-2764,1,2015-02-26T17:22:25.000+0000,
XD-2759,1,2015-02-25T13:06:55.000+0000,
XD-2756,1,2015-02-25T07:01:38.000+0000,
XD-2755,1,2015-02-24T12:15:08.000+0000,
XD-2752,1,2015-02-24T07:31:26.000+0000,
XD-2751,1,2015-02-23T16:01:55.000+0000,
XD-2740,1,2015-02-20T11:03:32.000+0000,
XD-2733,1,2015-02-18T07:59:13.000+0000,
XD-2731,1,2015-02-18T02:04:35.000+0000,
XD-2728,1,2015-02-17T13:51:09.000+0000,
XD-2727,1,2015-02-16T14:22:47.000+0000,
XD-2722,1,2015-02-13T10:31:09.000+0000,
XD-2720,1,2015-02-13T09:34:55.000+0000,
XD-2710,1,2015-02-10T15:44:12.000+0000,
XD-2683,1,2015-02-03T18:17:59.000+0000,
XD-2671,1,2015-01-30T14:04:14.000+0000,
XD-2668,1,2015-01-29T12:41:15.000+0000,
XD-2646,1,2015-01-26T09:24:42.000+0000,
XD-2645,1,2015-01-26T08:09:15.000+0000,
XD-2638,1,2015-01-23T07:47:02.000+0000,
XD-2616,1,2015-01-19T21:18:33.000+0000,
XD-2611,1,2015-01-19T07:03:49.000+0000,
XD-2610,1,2015-01-18T17:39:07.000+0000,
XD-2609,1,2015-01-17T17:02:56.000+0000,
XD-2608,1,2015-01-17T12:55:25.000+0000,
XD-2607,1,2015-01-17T10:12:36.000+0000,
XD-2605,1,2015-01-16T12:23:04.000+0000,
XD-2601,1,2015-01-16T02:59:30.000+0000,
XD-2593,1,2015-01-13T19:57:53.000+0000,
XD-2583,1,2015-01-12T05:41:22.000+0000,
XD-2580,1,2015-01-11T11:40:48.000+0000,
XD-2578,1,2015-01-10T21:32:37.000+0000,
XD-2577,1,2015-01-09T12:10:25.000+0000,
