key,bugnr,fields.created,
DNN-8385,1,2016-01-22T13:30:37.000-0800,
DNN-8382,1,2015-09-09T13:55:08.000-0700,
DNN-8360,1,2016-01-19T16:49:03.000-0800,
DNN-8347,1,2016-01-15T15:32:14.000-0800,
DNN-8327,1,2016-01-13T16:14:40.000-0800,
DNN-8321,1,2016-01-13T09:53:26.000-0800,
DNN-8312,1,2016-01-12T11:16:24.000-0800,
DNN-8311,1,2016-01-07T09:30:23.000-0800,
DNN-8310,1,2016-01-12T10:05:18.000-0800,
DNN-8299,1,2015-12-18T13:46:37.000-0800,
DNN-8248,1,2016-01-05T12:49:29.000-0800,
DNN-8239,1,2015-10-27T10:20:00.000-0700,
DNN-8232,1,2016-01-04T17:19:16.000-0800,
DNN-8216,1,2015-12-30T16:32:37.000-0800,
DNN-8215,1,2015-12-30T12:11:23.000-0800,
DNN-8214,1,2015-12-30T12:03:24.000-0800,
DNN-8212,1,2015-09-23T15:02:45.000-0700,
DNN-8207,1,2015-12-28T20:58:52.000-0800,
DNN-8202,1,2015-12-23T11:12:34.000-0800,
DNN-8181,1,2015-12-20T21:02:59.000-0800,
DNN-8176,1,2015-12-18T13:08:56.000-0800,
DNN-8171,1,2015-12-17T15:20:57.000-0800,
DNN-8159,1,2015-12-10T08:29:49.000-0800,
DNN-8156,1,2015-12-16T11:18:00.000-0800,
DNN-8155,1,2015-12-16T10:52:22.000-0800,
DNN-8138,1,2015-12-15T08:17:03.000-0800,
DNN-8136,1,2015-12-15T04:18:59.000-0800,
DNN-8134,1,2015-12-14T17:12:58.000-0800,
DNN-8133,1,2015-12-14T13:21:02.000-0800,
DNN-8131,1,2015-12-14T10:49:54.000-0800,
DNN-8123,1,2015-12-11T02:35:52.000-0800,
DNN-8119,1,2015-12-10T14:49:43.000-0800,
DNN-8115,1,2015-12-09T21:29:16.000-0800,
DNN-8112,1,2015-12-09T11:30:27.000-0800,
DNN-8107,1,2015-12-08T17:11:11.000-0800,
DNN-8101,1,2015-12-08T14:39:49.000-0800,
DNN-8091,1,2015-12-07T08:32:37.000-0800,
DNN-8085,1,2015-12-04T11:28:26.000-0800,
DNN-8082,1,2015-12-04T09:01:34.000-0800,
DNN-8081,1,2015-12-04T08:58:50.000-0800,
DNN-8080,1,2015-12-04T08:50:12.000-0800,
DNN-8079,1,2015-12-04T08:40:38.000-0800,
DNN-8078,1,2015-12-04T08:13:18.000-0800,
DNN-8073,1,2015-12-03T11:06:12.000-0800,
DNN-8072,1,2015-12-02T15:29:12.000-0800,
DNN-8070,1,2015-12-02T14:25:14.000-0800,
DNN-8068,1,2015-12-02T12:02:45.000-0800,
DNN-8066,1,2015-12-02T08:55:56.000-0800,
DNN-8065,1,2015-11-25T15:03:05.000-0800,
DNN-8062,1,2015-12-02T01:29:06.000-0800,
DNN-8053,1,2015-12-01T15:59:04.000-0800,
DNN-8051,1,2015-12-01T15:23:57.000-0800,
DNN-8048,1,2015-12-01T11:07:56.000-0800,
DNN-8047,1,2015-12-01T04:27:46.000-0800,
DNN-8036,1,2015-11-30T04:30:26.000-0800,
DNN-8034,1,2015-11-27T17:16:08.000-0800,
DNN-8033,1,2015-11-27T17:11:41.000-0800,
DNN-8032,1,2015-11-27T17:08:32.000-0800,
DNN-8028,1,2015-11-27T09:09:40.000-0800,
DNN-8014,1,2015-11-24T16:46:29.000-0800,
DNN-8012,1,2015-11-24T15:47:29.000-0800,
DNN-8006,1,2015-11-24T02:56:22.000-0800,
DNN-8003,1,2015-11-23T16:49:27.000-0800,
DNN-7999,1,2015-11-23T15:32:12.000-0800,
DNN-7997,1,2015-11-23T13:30:17.000-0800,
DNN-7995,1,2015-11-23T11:33:04.000-0800,
DNN-7990,1,2015-11-20T13:07:44.000-0800,
DNN-7989,1,2015-11-20T12:59:16.000-0800,
DNN-7988,1,2015-11-20T11:42:34.000-0800,
DNN-7985,1,2015-11-19T17:06:25.000-0800,
DNN-7984,1,2015-11-19T16:20:13.000-0800,
DNN-7983,1,2015-11-19T15:45:51.000-0800,
DNN-7982,1,2015-11-19T14:31:15.000-0800,
DNN-7978,1,2015-11-19T12:01:12.000-0800,
DNN-7973,1,2015-11-18T23:26:25.000-0800,
DNN-7971,1,2015-11-18T22:58:01.000-0800,
DNN-7968,1,2015-11-18T18:14:08.000-0800,
DNN-7963,1,2015-11-18T15:46:58.000-0800,
DNN-7962,1,2015-11-18T15:35:10.000-0800,
DNN-7958,1,2015-11-18T12:18:34.000-0800,
DNN-7956,1,2015-11-18T11:18:06.000-0800,
DNN-7955,1,2015-11-18T10:30:53.000-0800,
DNN-7954,1,2015-11-18T10:10:14.000-0800,
DNN-7949,1,2015-11-17T17:18:57.000-0800,
DNN-7948,1,2015-11-17T16:40:54.000-0800,
DNN-7947,1,2015-11-17T16:34:27.000-0800,
DNN-7941,1,2015-11-17T13:39:40.000-0800,
DNN-7939,1,2015-11-17T04:10:53.000-0800,
DNN-7937,1,2015-11-16T19:46:49.000-0800,
DNN-7923,1,2015-11-13T11:23:05.000-0800,
DNN-7918,1,2015-11-12T17:01:31.000-0800,
DNN-7916,1,2015-11-12T15:29:49.000-0800,
DNN-7914,1,2015-11-12T13:55:19.000-0800,
DNN-7913,1,2015-11-12T13:42:12.000-0800,
DNN-7912,1,2015-11-12T12:22:33.000-0800,
DNN-7904,1,2015-11-10T10:24:06.000-0800,
DNN-7903,1,2015-11-10T10:08:39.000-0800,
DNN-7894,1,2015-11-07T21:45:50.000-0800,
DNN-7893,1,2015-11-06T14:57:27.000-0800,
DNN-7891,1,2015-11-06T14:10:10.000-0800,
DNN-7890,1,2015-11-06T13:57:10.000-0800,
DNN-7889,1,2015-11-06T13:11:36.000-0800,
DNN-7888,1,2015-11-06T13:03:24.000-0800,
DNN-7887,1,2015-11-06T11:43:35.000-0800,
DNN-7886,1,2015-11-06T08:34:59.000-0800,
DNN-7872,1,2015-11-04T10:17:24.000-0800,
DNN-7867,1,2015-11-03T17:15:30.000-0800,
DNN-7860,1,2015-11-02T15:26:04.000-0800,
DNN-7857,1,2015-11-01T09:40:17.000-0800,
DNN-7844,1,2015-10-29T07:21:04.000-0700,
DNN-7831,1,2015-10-27T23:34:33.000-0700,
DNN-7811,1,2015-10-24T16:11:27.000-0700,
DNN-7809,1,2015-10-23T11:59:21.000-0700,
DNN-7808,1,2015-10-23T11:52:53.000-0700,
DNN-7791,1,2015-10-22T09:34:19.000-0700,
DNN-7790,1,2015-10-22T06:41:54.000-0700,
DNN-7789,1,2015-10-22T06:27:06.000-0700,
DNN-7788,1,2015-10-22T06:20:34.000-0700,
DNN-7782,1,2015-10-21T17:29:43.000-0700,
DNN-7778,1,2015-10-21T13:06:08.000-0700,
DNN-7766,1,2015-10-20T18:21:40.000-0700,
DNN-7760,1,2015-10-20T08:40:14.000-0700,
DNN-7759,1,2015-10-20T00:59:17.000-0700,
DNN-7758,1,2015-10-19T14:38:14.000-0700,
DNN-7755,1,2015-10-19T10:10:43.000-0700,
DNN-7748,1,2015-10-16T16:37:34.000-0700,
DNN-7747,1,2015-10-16T14:12:42.000-0700,
DNN-7744,1,2015-10-16T13:21:20.000-0700,
DNN-7737,1,2015-10-15T21:41:06.000-0700,
DNN-7731,1,2015-10-15T13:25:55.000-0700,
DNN-7728,1,2015-10-14T16:40:32.000-0700,
DNN-7725,1,2015-10-14T12:50:56.000-0700,
DNN-7718,1,2015-10-14T04:18:29.000-0700,
DNN-7715,1,2015-10-13T16:17:25.000-0700,
DNN-7710,1,2015-10-13T10:27:37.000-0700,
DNN-7709,1,2015-10-13T09:08:19.000-0700,
DNN-7707,1,2015-10-13T02:29:48.000-0700,
DNN-7702,1,2015-10-12T08:52:52.000-0700,
DNN-7688,1,2015-10-08T12:33:28.000-0700,
DNN-7677,1,2015-10-07T13:23:00.000-0700,
DNN-7675,1,2015-10-07T11:10:58.000-0700,
DNN-7673,1,2015-10-07T09:05:01.000-0700,
