key,bugnr,created,
COMPASS-3727,1,2019-06-25T01:50:30.000+0000,
COMPASS-3725,1,2019-06-24T13:10:50.000+0000,
COMPASS-3724,1,2019-06-24T13:09:02.000+0000,
COMPASS-3713,1,2019-06-23T06:52:54.000+0000,
COMPASS-3711,1,2019-06-20T18:01:27.000+0000,
COMPASS-3710,1,2019-06-20T14:27:11.000+0000,
COMPASS-3709,1,2019-06-19T20:42:38.000+0000,
COMPASS-3708,1,2019-06-19T13:32:05.000+0000,
COMPASS-3707,1,2019-06-19T10:45:56.000+0000,
COMPASS-3706,1,2019-06-17T21:30:23.000+0000,
COMPASS-3705,1,2019-06-17T21:26:55.000+0000,
COMPASS-3704,1,2019-06-17T18:05:45.000+0000,
COMPASS-3703,1,2019-06-17T08:47:11.000+0000,
COMPASS-3702,1,2019-06-16T21:03:35.000+0000,
COMPASS-3701,1,2019-06-14T14:06:53.000+0000,
COMPASS-3698,1,2019-06-14T13:41:03.000+0000,
COMPASS-3692,1,2019-06-13T12:24:29.000+0000,
COMPASS-3690,1,2019-06-13T09:12:02.000+0000,
COMPASS-3689,1,2019-06-13T09:10:55.000+0000,
COMPASS-3687,1,2019-06-13T07:47:53.000+0000,
COMPASS-3683,1,2019-06-12T08:02:25.000+0000,
COMPASS-3681,1,2019-06-10T21:31:47.000+0000,
COMPASS-3673,1,2019-06-05T15:38:19.000+0000,
COMPASS-3666,1,2019-05-23T13:56:39.000+0000,
COMPASS-3664,1,2019-05-22T22:20:40.000+0000,
COMPASS-3663,1,2019-05-22T21:16:10.000+0000,
COMPASS-3654,1,2019-05-21T14:59:58.000+0000,
COMPASS-3652,1,2019-05-20T15:02:12.000+0000,
COMPASS-3651,1,2019-05-20T04:04:01.000+0000,
COMPASS-3650,1,2019-05-17T11:39:11.000+0000,
COMPASS-3643,1,2019-05-14T04:36:07.000+0000,
COMPASS-3642,1,2019-05-14T04:21:43.000+0000,
COMPASS-3631,1,2019-05-11T00:42:42.000+0000,
COMPASS-3615,1,2019-05-01T23:41:03.000+0000,
COMPASS-3605,1,2019-04-29T18:27:50.000+0000,
COMPASS-3600,1,2019-04-27T17:55:01.000+0000,
COMPASS-3596,1,2019-04-26T18:52:51.000+0000,
COMPASS-3595,1,2019-04-26T13:10:45.000+0000,
COMPASS-3584,1,2019-04-21T22:04:06.000+0000,
COMPASS-3582,1,2019-04-19T09:37:53.000+0000,
COMPASS-3581,1,2019-04-18T21:53:40.000+0000,
COMPASS-3580,1,2019-04-18T15:41:09.000+0000,
COMPASS-3577,1,2019-04-18T06:28:58.000+0000,
COMPASS-3574,1,2019-04-16T09:09:34.000+0000,
COMPASS-3573,1,2019-04-15T18:36:45.000+0000,
COMPASS-3563,1,2019-04-12T12:57:17.000+0000,
COMPASS-3561,1,2019-04-10T21:21:01.000+0000,
COMPASS-3559,1,2019-04-10T18:32:24.000+0000,
COMPASS-3556,1,2019-04-08T15:49:26.000+0000,
COMPASS-3554,1,2019-04-08T11:19:48.000+0000,
COMPASS-3552,1,2019-04-05T15:47:04.000+0000,
COMPASS-3550,1,2019-04-03T13:23:18.000+0000,
COMPASS-3549,1,2019-04-03T13:18:16.000+0000,
COMPASS-3546,1,2019-03-29T16:00:32.000+0000,
COMPASS-3542,1,2019-03-26T18:55:54.000+0000,
COMPASS-3541,1,2019-03-26T12:55:27.000+0000,
COMPASS-3540,1,2019-03-26T12:44:31.000+0000,
COMPASS-3539,1,2019-03-22T20:09:27.000+0000,
COMPASS-3522,1,2019-03-16T14:26:54.000+0000,
COMPASS-3498,1,2019-03-11T22:41:44.000+0000,
COMPASS-3497,1,2019-03-11T22:23:08.000+0000,
COMPASS-3495,1,2019-03-09T13:53:20.000+0000,
COMPASS-3494,1,2019-03-08T22:47:47.000+0000,
COMPASS-3490,1,2019-03-07T10:33:10.000+0000,
COMPASS-3489,1,2019-03-06T22:17:24.000+0000,
COMPASS-3485,1,2019-03-06T10:28:26.000+0000,
COMPASS-3484,1,2019-03-05T15:59:13.000+0000,
COMPASS-3481,1,2019-03-03T15:02:56.000+0000,
COMPASS-3480,1,2019-03-03T14:24:07.000+0000,
COMPASS-3479,1,2019-03-03T05:16:20.000+0000,
COMPASS-3477,1,2019-03-01T12:12:53.000+0000,
COMPASS-3474,1,2019-02-28T09:05:51.000+0000,
COMPASS-3473,1,2019-02-28T04:31:14.000+0000,
COMPASS-3470,1,2019-02-26T13:35:44.000+0000,
COMPASS-3469,1,2019-02-22T15:04:44.000+0000,
COMPASS-3466,1,2019-02-20T03:50:55.000+0000,
COMPASS-3463,1,2019-02-14T15:28:32.000+0000,
COMPASS-3462,1,2019-02-13T10:20:57.000+0000,
COMPASS-3456,1,2019-02-08T16:53:36.000+0000,
COMPASS-3455,1,2019-02-07T14:10:03.000+0000,
COMPASS-3451,1,2019-02-06T13:21:52.000+0000,
COMPASS-3443,1,2019-02-04T14:43:45.000+0000,
COMPASS-3435,1,2019-02-01T19:18:35.000+0000,
COMPASS-3428,1,2019-01-31T13:20:10.000+0000,
COMPASS-3422,1,2019-01-31T09:53:13.000+0000,
COMPASS-3421,1,2019-01-30T22:55:25.000+0000,
COMPASS-3401,1,2019-01-23T11:09:32.000+0000,
COMPASS-3399,1,2019-01-22T23:31:23.000+0000,
COMPASS-3396,1,2019-01-21T04:49:02.000+0000,
COMPASS-3393,1,2019-01-18T04:23:18.000+0000,
COMPASS-3392,1,2019-01-17T17:43:06.000+0000,
COMPASS-3389,1,2019-01-16T13:20:07.000+0000,
COMPASS-3388,1,2019-01-16T10:04:53.000+0000,
COMPASS-3383,1,2019-01-11T17:35:56.000+0000,
COMPASS-3381,1,2019-01-10T13:07:10.000+0000,
COMPASS-3376,1,2019-01-07T12:15:47.000+0000,
COMPASS-3372,1,2019-01-03T21:32:12.000+0000,
COMPASS-3368,1,2018-12-28T14:58:10.000+0000,
COMPASS-3367,1,2018-12-28T00:23:39.000+0000,
COMPASS-3366,1,2018-12-20T19:54:45.000+0000,
COMPASS-3365,1,2018-12-20T19:45:18.000+0000,
COMPASS-3363,1,2018-12-19T18:15:59.000+0000,
COMPASS-3362,1,2018-12-19T14:39:59.000+0000,
COMPASS-3361,1,2018-12-19T11:14:27.000+0000,
COMPASS-3360,1,2018-12-16T13:49:49.000+0000,
COMPASS-3359,1,2018-12-16T06:36:35.000+0000,
