key,bugnr,fields.created,
MULE-9009,1,2015-10-16T01:35:12.000-0500,
MULE-8976,1,2015-10-02T09:10:21.000-0500,
MULE-8956,1,2015-09-21T08:31:23.000-0500,
MULE-8955,1,2015-09-18T11:41:33.000-0500,
MULE-8951,1,2015-09-17T09:30:36.000-0500,
MULE-8947,1,2015-09-16T11:06:48.000-0500,
MULE-8938,1,2015-09-11T17:56:07.000-0500,
MULE-8933,1,2015-09-08T14:30:05.000-0500,
MULE-8929,1,2015-09-07T08:49:13.000-0500,
MULE-8927,1,2015-09-03T12:35:43.000-0500,
MULE-8922,1,2015-09-03T07:47:23.000-0500,
MULE-8919,1,2015-09-02T12:54:50.000-0500,
MULE-8917,1,2015-09-02T10:05:29.000-0500,
MULE-8916,1,2015-09-02T10:04:07.000-0500,
MULE-8904,1,2015-08-31T11:05:11.000-0500,
MULE-8898,1,2015-08-26T16:15:00.000-0500,
MULE-8897,1,2015-08-26T10:49:31.000-0500,
MULE-8854,1,2015-08-24T08:56:53.000-0500,
MULE-8829,1,2015-08-11T09:40:42.000-0500,
MULE-8827,1,2015-08-06T13:29:03.000-0500,
MULE-8822,1,2015-08-04T18:55:31.000-0500,
MULE-8821,1,2015-08-04T14:47:13.000-0500,
MULE-8820,1,2015-08-04T10:19:18.000-0500,
MULE-8819,1,2015-08-04T10:04:34.000-0500,
MULE-8816,1,2015-08-03T17:35:02.000-0500,
MULE-8815,1,2015-08-03T16:42:35.000-0500,
MULE-8813,1,2015-08-03T09:43:29.000-0500,
MULE-8812,1,2015-07-30T14:45:22.000-0500,
MULE-8806,1,2015-07-24T16:06:33.000-0500,
MULE-8804,1,2015-07-23T12:41:18.000-0500,
MULE-8800,1,2015-07-23T14:52:52.000-0500,
MULE-8798,1,2015-07-23T09:27:24.000-0500,
MULE-8795,1,2015-07-22T18:52:21.000-0500,
MULE-8793,1,2015-07-22T09:26:04.000-0500,
MULE-8792,1,2015-07-21T15:35:43.000-0500,
MULE-8790,1,2015-07-21T09:22:22.000-0500,
MULE-8788,1,2015-07-20T19:51:25.000-0500,
MULE-8786,1,2015-07-16T16:10:20.000-0500,
MULE-8779,1,2015-07-14T13:05:10.000-0500,
MULE-8771,1,2015-07-08T15:30:05.000-0500,
MULE-8769,1,2015-07-08T07:00:21.000-0500,
MULE-8764,1,2015-07-06T13:10:33.000-0500,
MULE-8754,1,2015-07-03T18:34:42.000-0500,
MULE-8743,1,2015-06-26T14:38:02.000-0500,
MULE-8738,1,2015-06-25T14:29:54.000-0500,
MULE-8736,1,2015-06-25T11:12:02.000-0500,
MULE-8735,1,2015-06-25T08:01:22.000-0500,
MULE-8708,1,2015-06-17T08:04:53.000-0500,
MULE-8707,1,2015-06-17T06:34:46.000-0500,
MULE-8703,1,2015-06-12T12:05:52.000-0500,
MULE-8700,1,2015-06-10T16:25:59.000-0500,
MULE-8698,1,2015-06-09T16:49:32.000-0500,
MULE-8696,1,2015-06-09T14:16:55.000-0500,
MULE-8693,1,2015-06-09T10:52:48.000-0500,
MULE-8687,1,2015-06-08T09:23:18.000-0500,
MULE-8683,1,2015-06-05T12:12:47.000-0500,
MULE-8678,1,2015-06-04T07:14:09.000-0500,
MULE-8677,1,2015-06-04T06:51:33.000-0500,
MULE-8676,1,2015-06-04T06:27:58.000-0500,
MULE-8669,1,2015-06-03T08:44:57.000-0500,
MULE-8666,1,2015-06-02T15:13:36.000-0500,
MULE-8664,1,2015-06-02T12:18:43.000-0500,
MULE-8661,1,2015-06-01T12:04:49.000-0500,
MULE-8658,1,2015-05-29T10:27:59.000-0500,
MULE-8657,1,2015-05-28T16:43:36.000-0500,
MULE-8656,1,2015-05-28T15:37:20.000-0500,
MULE-8654,1,2015-05-28T12:25:42.000-0500,
MULE-8648,1,2015-05-27T12:36:38.000-0500,
MULE-8643,1,2015-05-26T12:45:37.000-0500,
MULE-8639,1,2015-05-25T09:53:49.000-0500,
MULE-8638,1,2015-05-22T14:46:06.000-0500,
MULE-8635,1,2015-05-22T09:56:41.000-0500,
MULE-8632,1,2015-05-22T00:48:39.000-0500,
MULE-8628,1,2015-05-21T12:03:24.000-0500,
MULE-8626,1,2015-05-21T10:51:46.000-0500,
MULE-8616,1,2015-05-19T13:09:00.000-0500,
MULE-8615,1,2015-05-18T15:34:24.000-0500,
MULE-8609,1,2015-05-15T08:55:36.000-0500,
MULE-8606,1,2015-05-14T12:07:43.000-0500,
MULE-8604,1,2015-05-14T09:08:45.000-0500,
MULE-8603,1,2015-05-14T08:58:25.000-0500,
MULE-8601,1,2015-05-13T14:55:25.000-0500,
MULE-8600,1,2015-05-13T14:36:24.000-0500,
MULE-8598,1,2015-05-13T13:31:35.000-0500,
MULE-8597,1,2015-05-13T13:26:50.000-0500,
MULE-8596,1,2015-05-13T11:18:42.000-0500,
MULE-8594,1,2015-05-12T16:37:18.000-0500,
MULE-8582,1,2015-05-07T12:04:21.000-0500,
MULE-8581,1,2015-05-07T11:37:20.000-0500,
MULE-8578,1,2015-05-06T17:14:23.000-0500,
MULE-8576,1,2015-05-06T17:08:07.000-0500,
MULE-8574,1,2015-05-06T14:56:41.000-0500,
MULE-8572,1,2015-05-06T10:21:27.000-0500,
MULE-8569,1,2015-05-05T16:29:14.000-0500,
MULE-8564,1,2015-05-04T16:57:45.000-0500,
MULE-8559,1,2015-04-29T10:12:20.000-0500,
MULE-8556,1,2015-04-28T18:51:25.000-0500,
MULE-8553,1,2015-04-28T12:34:27.000-0500,
MULE-8552,1,2015-04-28T12:15:15.000-0500,
MULE-8550,1,2015-04-28T09:43:43.000-0500,
MULE-8547,1,2015-04-28T08:04:25.000-0500,
MULE-8544,1,2015-04-27T13:04:25.000-0500,
MULE-8543,1,2015-04-27T13:03:16.000-0500,
MULE-8539,1,2015-04-24T14:01:44.000-0500,
MULE-8538,1,2015-04-24T13:39:16.000-0500,
MULE-8533,1,2015-04-23T09:19:59.000-0500,
MULE-8529,1,2015-04-22T14:50:54.000-0500,
MULE-8528,1,2015-04-21T13:28:17.000-0500,
MULE-8523,1,2015-04-20T21:23:48.000-0500,
MULE-8521,1,2015-04-20T15:09:11.000-0500,
MULE-8520,1,2015-04-20T14:03:04.000-0500,
MULE-8515,1,2015-04-20T09:57:26.000-0500,
MULE-8506,1,2015-04-17T12:49:46.000-0500,
MULE-8505,1,2015-04-17T12:06:14.000-0500,
MULE-8503,1,2015-04-16T17:28:50.000-0500,
MULE-8501,1,2015-04-16T12:28:40.000-0500,
MULE-8497,1,2015-04-15T16:57:25.000-0500,
MULE-8495,1,2015-04-15T16:06:00.000-0500,
MULE-8492,1,2015-04-15T14:54:45.000-0500,
MULE-8490,1,2015-04-15T13:43:17.000-0500,
MULE-8487,1,2015-04-15T11:22:11.000-0500,
MULE-8484,1,2015-04-15T08:04:36.000-0500,
MULE-8483,1,2015-04-15T06:33:46.000-0500,
MULE-8471,1,2015-04-13T08:52:41.000-0500,
MULE-8469,1,2015-04-12T06:59:54.000-0500,
MULE-8467,1,2015-04-09T15:21:53.000-0500,
MULE-8466,1,2015-04-09T14:54:19.000-0500,
MULE-8451,1,2015-04-07T12:08:13.000-0500,
MULE-8448,1,2015-04-07T07:28:27.000-0500,
MULE-8447,1,2015-04-06T16:46:26.000-0500,
MULE-8442,1,2015-03-31T08:24:54.000-0500,
MULE-8416,1,2015-03-19T13:11:46.000-0500,
MULE-8415,1,2015-03-19T13:02:24.000-0500,
MULE-8411,1,2015-03-19T09:01:46.000-0500,
MULE-8408,1,2015-03-18T18:10:13.000-0500,
MULE-8405,1,2015-03-18T07:19:45.000-0500,
MULE-8400,1,2015-03-17T13:31:23.000-0500,
MULE-8384,1,2015-03-13T10:08:38.000-0500,
MULE-8383,1,2015-03-13T08:15:36.000-0500,
MULE-8382,1,2015-03-12T20:59:30.000-0500,
MULE-8377,1,2015-03-12T13:07:37.000-0500,
MULE-8370,1,2015-03-09T15:49:06.000-0500,
MULE-8365,1,2015-03-06T11:53:43.000-0600,
MULE-8364,1,2015-03-06T10:46:02.000-0600,
MULE-8356,1,2015-03-05T11:39:55.000-0600,
MULE-8353,1,2015-03-04T06:53:18.000-0600,
MULE-8350,1,2015-03-03T13:48:04.000-0600,
MULE-8346,1,2015-03-02T12:43:59.000-0600,
MULE-8342,1,2015-02-26T09:41:14.000-0600,
MULE-8341,1,2015-02-25T12:14:34.000-0600,
MULE-8338,1,2015-02-23T11:22:44.000-0600,
MULE-8325,1,2015-02-18T16:29:17.000-0600,
MULE-8318,1,2015-02-13T12:22:28.000-0600,
MULE-8312,1,2015-02-12T18:00:49.000-0600,
MULE-8311,1,2015-02-12T12:59:43.000-0600,
MULE-8307,1,2015-02-10T19:11:56.000-0600,
MULE-8306,1,2015-02-09T14:13:45.000-0600,
MULE-8304,1,2015-02-09T09:02:00.000-0600,
MULE-8303,1,2015-02-09T07:14:16.000-0600,
MULE-8295,1,2015-02-05T08:37:56.000-0600,
MULE-8292,1,2015-02-04T11:17:45.000-0600,
MULE-8288,1,2015-02-03T13:59:18.000-0600,
MULE-8284,1,2015-02-02T10:27:04.000-0600,
MULE-8282,1,2015-02-02T04:55:26.000-0600,
MULE-8278,1,2015-01-29T15:49:24.000-0600,
MULE-8277,1,2015-01-29T15:06:52.000-0600,
MULE-8270,1,2015-01-26T12:22:01.000-0600,
MULE-8267,1,2015-01-23T10:56:39.000-0600,
MULE-8263,1,2015-01-23T08:32:22.000-0600,
MULE-8261,1,2015-01-22T14:15:20.000-0600,
MULE-8257,1,2015-01-22T12:39:56.000-0600,
MULE-8248,1,2015-01-21T08:52:02.000-0600,
MULE-8247,1,2015-01-21T08:14:53.000-0600,
MULE-8239,1,2015-01-19T08:24:35.000-0600,
MULE-8232,1,2015-01-15T16:08:43.000-0600,
MULE-8231,1,2015-01-15T15:44:08.000-0600,
MULE-8229,1,2015-01-14T14:28:14.000-0600,
MULE-8220,1,2015-01-12T09:59:31.000-0600,
MULE-8209,1,2015-01-07T10:27:31.000-0600,
MULE-8206,1,2015-01-06T20:23:07.000-0600,
MULE-8205,1,2015-01-06T08:37:55.000-0600,
MULE-8202,1,2015-01-05T11:57:31.000-0600,
MULE-8201,1,2015-01-05T11:42:34.000-0600,
MULE-8197,1,2015-01-02T10:48:22.000-0600,
MULE-8192,1,2014-12-30T14:20:15.000-0600,
MULE-8189,1,2014-12-30T09:02:36.000-0600,
MULE-8188,1,2014-12-30T08:58:26.000-0600,
MULE-8184,1,2014-12-29T14:19:12.000-0600,
