key,delay_nr,fields.resolutiondate,
TISTUD-6350,1,2014-05-15 01:25:38+00:00,
TISTUD-6200,1,2014-03-28 17:02:34+00:00,
TISTUD-6194,1,2014-05-12 22:48:48+00:00,
TISTUD-6198,1,2014-08-28 10:49:29+00:00,
TISTUD-6148,1,2014-05-12 22:51:00+00:00,
TISTUD-6102,1,2014-10-03 23:28:25+00:00,
TISTUD-6094,1,2014-03-12 20:38:55+00:00,
TISTUD-6038,1,2014-01-31 01:46:38+00:00,
TISTUD-6006,1,2014-08-05 09:28:13+00:00,
TISTUD-5999,1,2014-01-17 22:42:20+00:00,
TISTUD-5991,1,2014-08-05 10:49:08+00:00,
TISTUD-5969,1,2014-08-05 10:02:30+00:00,
TISTUD-5963,1,2014-01-17 01:52:33+00:00,
TISTUD-5943,1,2014-08-06 20:47:15+00:00,
TISTUD-5936,1,2014-03-04 09:35:15+00:00,
TISTUD-5919,1,2013-12-15 05:44:51+00:00,
TISTUD-5914,1,2014-01-31 14:09:01+00:00,
TISTUD-5895,1,2014-08-05 10:12:47+00:00,
TISTUD-5872,1,2013-12-13 17:40:49+00:00,
TISTUD-5833,1,2014-01-17 23:07:13+00:00,
TISTUD-5823,1,2014-02-04 15:04:15+00:00,
TISTUD-5822,1,2013-12-16 23:37:06+00:00,
TISTUD-5807,1,2013-12-06 00:26:00+00:00,
TISTUD-5793,1,2013-12-02 19:15:42+00:00,
TISTUD-5788,1,2013-12-19 20:31:11+00:00,
TISTUD-5785,1,2014-03-28 23:04:10+00:00,
TISTUD-5784,1,2013-12-12 22:18:49+00:00,
TISTUD-5778,1,2014-09-04 22:12:47+00:00,
TISTUD-5731,1,2013-12-07 07:47:24+00:00,
TISTUD-5722,1,2013-11-15 07:39:49+00:00,
TISTUD-5716,1,2013-11-15 12:33:20+00:00,
TISTUD-5706,1,2014-01-15 01:35:13+00:00,
TISTUD-5705,1,2013-11-21 15:52:44+00:00,
TISTUD-5704,1,2013-11-15 23:12:19+00:00,
TISTUD-5660,1,2013-11-07 00:08:42+00:00,
TISTUD-5659,1,2013-12-06 22:17:34+00:00,
TISTUD-5634,1,2014-08-07 20:19:22+00:00,
TISTUD-5631,1,2014-01-21 08:02:08+00:00,
TISTUD-5629,1,2013-11-01 20:46:51+00:00,
TISTUD-5622,1,2013-10-31 20:51:52+00:00,
TISTUD-5621,1,2013-10-29 17:37:32+00:00,
TISTUD-5620,1,2013-10-29 06:00:24+00:00,
TISTUD-5619,1,2013-10-29 19:49:01+00:00,
TISTUD-5614,1,2013-10-28 22:41:03+00:00,
TISTUD-5611,1,2013-11-20 16:06:40+00:00,
TISTUD-5623,1,2013-10-29 18:35:34+00:00,
TISTUD-5605,1,2013-10-30 16:09:07+00:00,
TISTUD-5603,1,2013-10-29 14:02:43+00:00,
TISTUD-5598,1,2013-10-28 20:39:53+00:00,
TISTUD-5594,1,2013-12-02 21:53:00+00:00,
TISTUD-5588,1,2013-10-24 04:52:13+00:00,
TISTUD-5585,1,2013-10-23 18:48:00+00:00,
TISTUD-5582,1,2013-10-24 02:03:01+00:00,
TISTUD-5579,1,2013-10-31 20:03:59+00:00,
TISTUD-5578,1,2013-10-31 23:35:50+00:00,
TISTUD-5577,1,2013-10-30 17:46:59+00:00,
TISTUD-5576,1,2013-10-29 21:04:39+00:00,
TISTUD-5575,1,2013-11-01 19:31:55+00:00,
TISTUD-5573,1,2013-10-22 21:18:11+00:00,
TISTUD-5571,1,2013-10-29 21:02:15+00:00,
TISTUD-5570,1,2013-10-29 21:14:24+00:00,
TISTUD-5568,1,2013-10-24 03:11:11+00:00,
TISTUD-5566,1,2013-11-14 17:54:21+00:00,
TISTUD-5562,1,2013-10-31 19:10:53+00:00,
TISTUD-5561,1,2013-10-25 20:46:11+00:00,
TISTUD-5559,1,2013-10-23 13:53:22+00:00,
TISTUD-5558,1,2013-10-23 05:28:55+00:00,
TISTUD-5556,1,2013-10-22 13:01:32+00:00,
TISTUD-5551,1,2013-10-22 12:58:37+00:00,
TISTUD-5545,1,2013-10-25 15:07:37+00:00,
TISTUD-5544,1,2013-10-23 13:34:58+00:00,
TISTUD-5543,1,2013-10-24 18:32:22+00:00,
TISTUD-5542,1,2013-10-21 13:05:25+00:00,
TISTUD-5541,1,2013-10-30 00:00:49+00:00,
TISTUD-5539,1,2013-10-29 21:31:14+00:00,
TISTUD-5538,1,2013-10-25 03:17:47+00:00,
TISTUD-5534,1,2013-10-21 20:18:36+00:00,
TISTUD-5531,1,2013-10-24 18:32:07+00:00,
TISTUD-5526,1,2013-10-25 02:30:17+00:00,
TISTUD-5523,1,2013-10-18 19:00:26+00:00,
TISTUD-5514,1,2013-10-31 20:20:08+00:00,
TISTUD-5513,1,2013-10-22 22:54:36+00:00,
TISTUD-5510,1,2013-10-30 15:55:08+00:00,
TISTUD-5504,1,2013-12-09 18:42:36+00:00,
TISTUD-5503,1,2013-10-31 23:52:20+00:00,
TISTUD-5502,1,2013-10-25 18:19:49+00:00,
TISTUD-5499,1,2013-10-25 02:29:32+00:00,
TISTUD-5495,1,2013-10-23 13:44:38+00:00,
TISTUD-5492,1,2013-10-31 23:34:29+00:00,
TISTUD-5483,1,2013-11-01 00:04:19+00:00,
TISTUD-5479,1,2013-10-21 05:29:24+00:00,
TISTUD-5477,1,2013-10-21 05:28:58+00:00,
TISTUD-5473,1,2013-10-21 05:27:49+00:00,
TISTUD-5471,1,2013-10-31 23:33:58+00:00,
TISTUD-5469,1,2013-10-23 15:33:38+00:00,
TISTUD-5467,1,2013-10-24 23:32:41+00:00,
TISTUD-5459,1,2013-10-18 14:27:33+00:00,
TISTUD-5455,1,2013-10-24 16:57:17+00:00,
TISTUD-5444,1,2013-09-27 17:54:19+00:00,
TISTUD-5443,1,2013-09-27 23:15:03+00:00,
TISTUD-5434,1,2013-10-24 20:53:30+00:00,
TISTUD-5431,1,2013-09-25 00:27:28+00:00,
TISTUD-5425,1,2013-09-27 19:56:39+00:00,
TISTUD-5424,1,2013-09-24 20:26:56+00:00,
TISTUD-5423,1,2013-09-24 21:47:16+00:00,
TISTUD-5422,1,2013-12-17 00:39:04+00:00,
TISTUD-5421,1,2013-09-24 22:54:27+00:00,
TISTUD-5419,1,2013-09-25 19:41:20+00:00,
