key,rework_nr,created,
XD-496,1,2013-07-16 04:23:47.916000+00:00,
XD-478,1,2013-07-16 06:13:00.235000+00:00,
XD-473,1,2013-07-31 11:33:21.436000+00:00,
XD-471,1,2015-07-08 14:43:18.091000+00:00,
XD-434,1,2015-07-08 14:41:55.402000+00:00,
XD-386,1,2014-07-11 08:47:59.539000+00:00,
XD-337,1,2013-06-25 14:52:18.992000+00:00,
XD-337,1,2013-06-25 16:27:38.116000+00:00,
XD-292,1,2013-06-25 14:55:56.395000+00:00,
XD-282,1,2013-11-04 14:40:57.604000+00:00,
XD-269,1,2013-07-15 05:56:08.065000+00:00,
XD-245,1,2013-06-26 09:08:04.693000+00:00,
XD-191,1,2013-06-25 10:22:54.069000+00:00,
XD-158,1,2014-03-17 13:02:11.659000+00:00,
XD-147,1,2013-05-29 16:01:32.779000+00:00,
XD-108,1,2013-05-23 07:40:24.314000+00:00,
XD-101,1,2013-05-24 12:51:14.875000+00:00,
XD-20,1,2013-05-03 12:46:36.690000+00:00,
XD-4,1,2014-01-16 22:04:08.454000+00:00,
