key,delay_nr,fields.resolutiondate,
MESOS-3857,1,2015-12-07 13:20:50+00:00,
MESOS-3856,1,2015-12-04 12:22:15+00:00,
MESOS-3854,1,2016-03-04 20:09:03+00:00,
MESOS-3851,1,2015-12-30 22:28:09+00:00,
MESOS-3849,1,2015-11-07 12:53:36+00:00,
MESOS-3847,1,2015-11-07 00:47:31+00:00,
MESOS-3839,1,2015-12-04 12:22:04+00:00,
MESOS-3837,1,2015-11-06 23:49:38+00:00,
MESOS-3831,1,2016-02-08 17:08:26+00:00,
MESOS-3819,1,2015-11-06 18:18:02+00:00,
MESOS-3800,1,2015-10-26 20:12:05+00:00,
MESOS-3785,1,2015-12-04 12:21:44+00:00,
MESOS-3773,1,2015-12-18 23:17:07+00:00,
MESOS-3771,1,2015-11-05 00:44:13+00:00,
MESOS-3763,1,2016-02-10 09:08:20+00:00,
MESOS-3762,1,2015-10-28 20:30:44+00:00,
MESOS-3758,1,2015-12-17 23:12:21+00:00,
MESOS-3732,1,2015-11-25 13:37:47+00:00,
MESOS-3723,1,2015-11-09 18:57:03+00:00,
MESOS-3722,1,2015-11-09 18:51:02+00:00,
MESOS-3718,1,2015-12-03 19:34:36+00:00,
MESOS-3716,1,2015-11-09 17:35:34+00:00,
MESOS-3705,1,2015-11-12 12:36:28+00:00,
MESOS-3595,1,2016-01-26 09:03:11+00:00,
MESOS-3586,1,2015-12-09 11:00:22+00:00,
MESOS-3581,1,2015-12-03 18:44:09+00:00,
MESOS-3571,1,2015-11-09 21:05:37+00:00,
MESOS-3570,1,2016-02-28 18:01:11+00:00,
MESOS-3563,1,2015-10-16 19:34:59+00:00,
MESOS-3560,1,2015-10-13 09:15:17+00:00,
MESOS-3554,1,2015-11-09 13:16:59+00:00,
MESOS-3550,1,2016-01-26 23:25:55+00:00,
MESOS-3519,1,2015-10-12 20:46:46+00:00,
MESOS-3515,1,2015-12-04 23:28:46+00:00,
MESOS-3506,1,2015-11-03 05:12:58+00:00,
MESOS-3497,1,2015-12-15 00:55:38+00:00,
MESOS-3496,1,2015-12-17 23:55:06+00:00,
MESOS-3480,1,2015-10-23 17:14:15+00:00,
MESOS-3476,1,2015-11-24 00:13:56+00:00,
MESOS-3468,1,2015-11-09 15:14:41+00:00,
MESOS-3428,1,2015-11-06 02:28:13+00:00,
MESOS-3413,1,2016-02-18 22:03:23+00:00,
MESOS-3378,1,2015-10-20 10:18:39+00:00,
MESOS-3375,1,2015-09-16 21:09:18+00:00,
MESOS-3365,1,2016-02-18 17:28:23+00:00,
MESOS-3357,1,2015-09-29 05:51:06+00:00,
MESOS-3356,1,2015-12-07 19:32:11+00:00,
MESOS-3346,1,2015-09-20 18:40:59+00:00,
MESOS-3345,1,2015-09-16 21:58:21+00:00,
MESOS-3339,1,2016-02-28 17:58:14+00:00,
MESOS-3332,1,2015-10-06 00:13:11+00:00,
MESOS-3319,1,2016-04-26 20:30:57+00:00,
MESOS-3312,1,2015-09-15 08:29:51+00:00,
MESOS-3310,1,2015-08-26 21:27:51+00:00,
