key,delay_nr,fields.resolutiondate,
COMPASS-3486,1,2019-04-29 13:23:08+00:00,
COMPASS-3485,1,2019-04-26 15:45:17+00:00,
COMPASS-3484,1,2019-08-01 10:13:12+00:00,
COMPASS-3481,1,2019-03-07 14:32:15+00:00,
COMPASS-3463,1,2019-03-06 14:36:12+00:00,
COMPASS-3453,1,2019-03-20 12:03:55+00:00,
COMPASS-3449,1,2019-03-25 14:19:26+00:00,
COMPASS-3448,1,2019-03-19 10:23:15+00:00,
COMPASS-3447,1,2019-06-09 13:17:05+00:00,
COMPASS-3444,1,2019-03-04 14:16:29+00:00,
COMPASS-3441,1,2019-03-18 16:43:45+00:00,
COMPASS-3439,1,2019-03-04 13:10:08+00:00,
COMPASS-3438,1,2019-03-04 13:10:51+00:00,
COMPASS-3428,1,2019-02-27 21:49:44+00:00,
COMPASS-3424,1,2019-04-29 13:24:12+00:00,
COMPASS-3422,1,2019-02-22 11:23:03+00:00,
COMPASS-3410,1,2019-03-06 22:22:25+00:00,
COMPASS-3383,1,2019-03-07 10:53:03+00:00,
COMPASS-3378,1,2019-02-06 13:07:59+00:00,
COMPASS-3376,1,2019-02-22 08:53:50+00:00,
COMPASS-3373,1,2019-03-14 11:12:48+00:00,
COMPASS-3372,1,2019-02-22 11:27:49+00:00,
COMPASS-3370,1,2019-02-28 16:43:47+00:00,
COMPASS-3364,1,2019-04-09 16:11:14+00:00,
COMPASS-3356,1,2018-12-12 14:50:47+00:00,
COMPASS-3353,1,2019-02-25 15:01:29+00:00,
COMPASS-3346,1,2019-01-24 15:40:21+00:00,
COMPASS-3339,1,2019-01-21 09:32:59+00:00,
COMPASS-3323,1,2019-03-06 12:36:36+00:00,
COMPASS-3322,1,2018-11-28 12:54:18+00:00,
COMPASS-3318,1,2019-01-24 15:40:03+00:00,
COMPASS-3315,1,2019-01-21 09:32:22+00:00,
COMPASS-3314,1,2019-01-21 09:33:08+00:00,
COMPASS-3313,1,2019-01-03 14:42:53+00:00,
COMPASS-3311,1,2019-01-21 09:32:44+00:00,
COMPASS-3310,1,2019-01-03 14:42:19+00:00,
COMPASS-3309,1,2019-01-03 14:41:56+00:00,
COMPASS-3308,1,2019-01-02 10:21:58+00:00,
COMPASS-3307,1,2019-01-03 14:42:08+00:00,
COMPASS-3305,1,2019-01-03 14:47:52+00:00,
COMPASS-3297,1,2019-01-09 14:37:11+00:00,
COMPASS-3296,1,2019-02-25 15:01:49+00:00,
COMPASS-3295,1,2019-03-06 17:24:32+00:00,
COMPASS-3294,1,2019-01-10 14:31:43+00:00,
COMPASS-3292,1,2019-02-27 20:42:39+00:00,
COMPASS-3291,1,2019-02-27 20:44:14+00:00,
COMPASS-3290,1,2019-02-06 19:47:29+00:00,
COMPASS-3289,1,2019-06-12 20:19:54+00:00,
COMPASS-3282,1,2019-11-13 15:49:07+00:00,
COMPASS-3278,1,2019-09-16 15:52:15+00:00,
COMPASS-3273,1,2019-01-24 11:50:56+00:00,
COMPASS-3272,1,2019-01-24 11:56:34+00:00,
COMPASS-3271,1,2019-01-30 11:40:39+00:00,
COMPASS-3270,1,2019-04-09 16:17:49+00:00,
COMPASS-3265,1,2018-11-29 14:53:17+00:00,
COMPASS-3263,1,2019-01-08 15:41:50+00:00,
COMPASS-3260,1,2018-12-12 14:51:20+00:00,
COMPASS-3258,1,2019-01-23 15:05:53+00:00,
COMPASS-3257,1,2018-11-28 12:35:58+00:00,
COMPASS-3255,1,2019-01-24 15:48:46+00:00,
COMPASS-3248,1,2018-12-12 14:51:48+00:00,
COMPASS-3235,1,2019-09-10 12:43:45+00:00,
COMPASS-3230,1,2018-11-14 14:12:25+00:00,
COMPASS-3228,1,2018-12-19 14:30:38+00:00,
COMPASS-3226,1,2018-11-14 15:06:29+00:00,
COMPASS-3223,1,2018-12-03 13:27:36+00:00,
COMPASS-3198,1,2018-11-15 10:37:48+00:00,
COMPASS-3196,1,2018-11-12 11:27:53+00:00,
COMPASS-3180,1,2020-01-27 09:53:24+00:00,
COMPASS-3176,1,2019-04-09 17:05:53+00:00,
COMPASS-3171,1,2018-10-30 10:48:56+00:00,
COMPASS-3170,1,2018-10-23 11:18:44+00:00,
COMPASS-3157,1,2019-04-09 14:49:57+00:00,
COMPASS-3153,1,2019-01-14 14:56:10+00:00,
COMPASS-3152,1,2018-11-25 09:06:32+00:00,
COMPASS-3151,1,2018-10-08 13:52:07+00:00,
COMPASS-3150,1,2018-12-12 12:57:39+00:00,
COMPASS-3144,1,2018-09-26 12:37:45+00:00,
COMPASS-3138,1,2018-09-26 14:25:27+00:00,
COMPASS-3137,1,2019-01-23 15:08:09+00:00,
COMPASS-3136,1,2019-01-23 15:08:46+00:00,
COMPASS-3127,1,2018-10-03 10:36:54+00:00,
COMPASS-3121,1,2020-01-27 09:55:03+00:00,
COMPASS-3118,1,2018-09-26 13:44:11+00:00,
COMPASS-3113,1,2018-10-22 13:57:09+00:00,
COMPASS-3111,1,2018-10-24 13:11:11+00:00,
COMPASS-3105,1,2018-09-21 15:49:36+00:00,
COMPASS-3104,1,2018-11-02 15:23:18+00:00,
COMPASS-3101,1,2018-09-26 13:48:23+00:00,
COMPASS-3100,1,2019-01-29 14:17:41+00:00,
COMPASS-3090,1,2018-09-27 12:18:03+00:00,
COMPASS-3086,1,2019-04-03 15:26:25+00:00,
COMPASS-3083,1,2018-09-27 11:05:49+00:00,
COMPASS-3072,1,2018-09-12 08:35:43+00:00,
COMPASS-3065,1,2018-08-29 14:31:30+00:00,
COMPASS-3063,1,2018-08-20 13:52:27+00:00,
COMPASS-3052,1,2018-08-20 13:52:13+00:00,
COMPASS-3051,1,2018-08-22 15:47:35+00:00,
COMPASS-3048,1,2018-09-12 09:53:55+00:00,
COMPASS-3045,1,2018-08-22 19:31:27+00:00,
COMPASS-3043,1,2018-08-14 19:47:14+00:00,
COMPASS-3042,1,2018-09-18 12:53:42+00:00,
COMPASS-3036,1,2018-11-15 14:30:24+00:00,
COMPASS-3035,1,2018-10-04 15:40:22+00:00,
COMPASS-3032,1,2018-08-08 16:17:34+00:00,
COMPASS-3017,1,2018-12-21 19:47:45+00:00,
COMPASS-3004,1,2018-08-08 14:19:51+00:00,
COMPASS-2996,1,2018-07-23 13:17:07+00:00,
COMPASS-2980,1,2019-10-08 13:39:03+00:00,
COMPASS-2979,1,2018-07-23 13:17:00+00:00,
COMPASS-2966,1,2018-07-30 16:34:38+00:00,
COMPASS-2958,1,2018-06-29 17:56:05+00:00,
COMPASS-2955,1,2018-07-09 20:11:53+00:00,
COMPASS-2954,1,2018-07-09 20:11:45+00:00,
COMPASS-2953,1,2018-07-09 20:11:36+00:00,
COMPASS-2948,1,2018-06-21 15:38:55+00:00,
COMPASS-2945,1,2018-06-21 15:38:38+00:00,
COMPASS-2940,1,2018-11-15 14:30:12+00:00,
COMPASS-2936,1,2018-06-25 13:36:50+00:00,
COMPASS-2934,1,2018-06-17 11:18:35+00:00,
COMPASS-2925,1,2018-06-22 11:05:43+00:00,
COMPASS-2922,1,2018-11-21 15:38:37+00:00,
COMPASS-2914,1,2018-07-09 20:11:22+00:00,
COMPASS-2913,1,2018-07-09 20:11:02+00:00,
COMPASS-2912,1,2018-06-14 10:29:04+00:00,
COMPASS-2907,1,2018-07-09 20:11:13+00:00,
COMPASS-2906,1,2018-06-18 08:56:22+00:00,
COMPASS-2905,1,2018-11-15 14:30:02+00:00,
COMPASS-2902,1,2018-06-25 12:26:47+00:00,
COMPASS-2899,1,2018-07-23 13:16:54+00:00,
COMPASS-2895,1,2018-06-18 08:56:01+00:00,
COMPASS-2893,1,2018-06-06 13:28:12+00:00,
COMPASS-2888,1,2019-03-29 14:04:14+00:00,
COMPASS-2887,1,2018-05-31 14:43:10+00:00,
COMPASS-2886,1,2018-06-05 20:26:18+00:00,
COMPASS-2871,1,2018-10-30 13:57:09+00:00,
COMPASS-2863,1,2018-07-09 12:51:14+00:00,
COMPASS-2862,1,2018-07-25 06:26:54+00:00,
COMPASS-2861,1,2018-05-29 14:32:43+00:00,
COMPASS-2857,1,2018-06-04 17:47:47+00:00,
COMPASS-2855,1,2018-05-29 14:21:18+00:00,
COMPASS-2854,1,2018-05-29 14:31:18+00:00,
COMPASS-2844,1,2018-11-27 20:08:20+00:00,
COMPASS-2829,1,2018-05-23 12:40:50+00:00,
COMPASS-2827,1,2018-06-18 11:37:15+00:00,
COMPASS-2824,1,2018-06-04 08:52:17+00:00,
COMPASS-2822,1,2019-04-18 14:14:04+00:00,
COMPASS-2819,1,2018-05-15 20:18:48+00:00,
COMPASS-2818,1,2018-05-23 09:08:59+00:00,
COMPASS-2813,1,2018-05-31 18:53:53+00:00,
COMPASS-2812,1,2018-06-04 07:51:18+00:00,
COMPASS-2811,1,2018-06-04 07:51:02+00:00,
COMPASS-2807,1,2018-05-15 11:44:26+00:00,
COMPASS-2804,1,2018-05-30 11:28:10+00:00,
COMPASS-2802,1,2018-06-29 14:41:42+00:00,
COMPASS-2800,1,2018-07-09 20:10:41+00:00,
COMPASS-2791,1,2018-05-30 14:22:19+00:00,
COMPASS-2790,1,2018-05-15 12:21:02+00:00,
COMPASS-2789,1,2018-06-12 10:51:51+00:00,
COMPASS-2779,1,2018-05-04 13:22:15+00:00,
COMPASS-2778,1,2018-05-06 20:22:39+00:00,
COMPASS-2777,1,2018-05-04 17:40:45+00:00,
COMPASS-2776,1,2018-05-04 17:43:01+00:00,
COMPASS-2759,1,2018-05-02 13:17:15+00:00,
COMPASS-2751,1,2018-08-15 12:27:06+00:00,
COMPASS-2749,1,2018-04-23 09:46:06+00:00,
COMPASS-2745,1,2018-04-24 00:40:40+00:00,
COMPASS-2735,1,2019-02-20 15:26:56+00:00,
COMPASS-2702,1,2018-05-02 12:40:17+00:00,
COMPASS-2674,1,2019-02-25 15:01:13+00:00,
COMPASS-2628,1,2018-05-10 09:10:12+00:00,
COMPASS-2627,1,2018-05-10 09:09:55+00:00,
COMPASS-2623,1,2018-04-26 12:10:22+00:00,
COMPASS-2622,1,2018-04-26 12:07:21+00:00,
COMPASS-2612,1,2018-06-21 10:31:03+00:00,
COMPASS-2602,1,2018-04-05 18:09:41+00:00,
COMPASS-2546,1,2019-04-17 14:17:40+00:00,
COMPASS-2495,1,2018-05-09 21:41:08+00:00,
COMPASS-2445,1,2019-01-23 10:33:19+00:00,
COMPASS-2437,1,2019-03-22 15:08:07+00:00,
COMPASS-2435,1,2018-08-01 13:58:41+00:00,
COMPASS-2406,1,2018-06-29 13:42:59+00:00,
COMPASS-2382,1,2018-07-24 00:56:57+00:00,
COMPASS-2381,1,2018-07-10 13:00:16+00:00,
COMPASS-2053,1,2018-10-31 18:05:47+00:00,
COMPASS-1805,1,2019-01-29 11:43:43+00:00,
COMPASS-1803,1,2019-04-05 15:01:38+00:00,
COMPASS-1802,1,2019-02-18 07:54:53+00:00,
COMPASS-1735,1,2018-07-24 10:20:22+00:00,
COMPASS-1630,1,2018-08-16 12:11:07+00:00,
COMPASS-1629,1,2018-08-31 11:04:07+00:00,
COMPASS-1406,1,2019-01-29 11:55:53+00:00,
COMPASS-1404,1,2020-01-09 16:36:39+00:00,
COMPASS-1337,1,2018-11-14 14:33:52+00:00,
COMPASS-1311,1,2019-03-07 11:02:41+00:00,
COMPASS-1237,1,2019-01-29 14:20:33+00:00,
COMPASS-1100,1,2019-01-22 14:44:07+00:00,
COMPASS-1099,1,2019-01-15 09:37:15+00:00,
COMPASS-1083,1,2019-08-20 11:12:55+00:00,
COMPASS-931,1,2018-08-15 15:05:03+00:00,
COMPASS-851,1,2018-11-05 14:21:05+00:00,
COMPASS-820,1,2018-10-31 17:23:54+00:00,
COMPASS-740,1,2019-02-14 16:14:23+00:00,
COMPASS-633,1,2018-08-09 12:41:55+00:00,
COMPASS-632,1,2018-08-01 13:41:56+00:00,
COMPASS-596,1,2018-08-06 14:32:46+00:00,
COMPASS-457,1,2018-09-06 13:48:18+00:00,
COMPASS-302,1,2019-08-02 11:44:35+00:00,
COMPASS-265,1,2018-08-16 09:28:21+00:00,
COMPASS-115,1,2018-08-22 13:14:53+00:00,
