key,delay_nr,fields.resolutiondate,
NEXUS-7835,1,2015-01-28 21:53:15+00:00,
NEXUS-7834,1,2015-01-08 18:46:23+00:00,
NEXUS-7806,1,2015-04-21 22:19:14+00:00,
NEXUS-7802,1,2015-01-12 23:11:19+00:00,
NEXUS-7769,1,2015-01-21 15:41:10+00:00,
NEXUS-7768,1,2015-01-08 16:44:20+00:00,
NEXUS-7732,1,2014-12-10 16:18:41+00:00,
NEXUS-7728,1,2014-12-12 19:30:38+00:00,
NEXUS-7723,1,2014-12-18 01:06:06+00:00,
NEXUS-7693,1,2014-12-09 20:03:14+00:00,
NEXUS-7653,1,2014-11-13 17:31:45+00:00,
NEXUS-7634,1,2014-11-11 21:19:28+00:00,
NEXUS-7632,1,2015-03-04 17:54:47+00:00,
NEXUS-7631,1,2014-12-11 20:12:46+00:00,
NEXUS-7629,1,2014-11-28 17:15:45+00:00,
NEXUS-7614,1,2014-11-20 18:37:43+00:00,
NEXUS-7609,1,2014-11-06 08:21:30+00:00,
NEXUS-7596,1,2014-10-29 16:14:24+00:00,
NEXUS-7594,1,2014-11-18 18:48:28+00:00,
NEXUS-7588,1,2014-12-16 20:26:20+00:00,
NEXUS-7582,1,2014-10-20 20:20:45+00:00,
NEXUS-7581,1,2014-11-13 15:10:05+00:00,
NEXUS-7330,1,2015-01-12 22:50:31+00:00,
NEXUS-6898,1,2014-11-20 21:18:17+00:00,
NEXUS-6881,1,2014-10-15 00:42:07+00:00,
NEXUS-6829,1,2014-10-09 07:12:54+00:00,
NEXUS-6801,1,2014-10-17 20:24:17+00:00,
NEXUS-6799,1,2014-09-17 20:47:50+00:00,
NEXUS-6795,1,2015-07-15 01:00:14+00:00,
NEXUS-6791,1,2014-09-04 01:11:16+00:00,
NEXUS-6790,1,2014-10-28 19:37:27+00:00,
NEXUS-6789,1,2014-09-04 01:28:31+00:00,
NEXUS-6786,1,2014-09-09 21:35:45+00:00,
NEXUS-6776,1,2014-11-14 16:46:16+00:00,
NEXUS-6769,1,2014-09-04 01:30:11+00:00,
NEXUS-6768,1,2014-09-04 01:43:15+00:00,
NEXUS-6767,1,2014-09-04 01:37:15+00:00,
NEXUS-6744,1,2014-08-22 19:55:54+00:00,
NEXUS-6742,1,2014-09-04 01:10:55+00:00,
NEXUS-6702,1,2014-10-17 20:24:10+00:00,
NEXUS-6673,1,2014-09-09 22:04:14+00:00,
NEXUS-6668,1,2014-07-09 13:55:41+00:00,
NEXUS-6650,1,2014-07-16 14:46:27+00:00,
NEXUS-6601,1,2014-07-16 18:24:22+00:00,
