"Create wrapper for InstanceScope and DefaultScope in code InstanceScope and DefaultScope constructors have been deprecated in Eclipse 3.7. However, the replacement methods is only available in Eclipse 3.7, so we cannot universally switch to it yet. Adding to all usages is problematic, since it will display Unused annotation in Eclipse 3.6 Suggest making wrapper methods for the above items and adding a single SuppressWarnings to those instances. Thus, we only have two warnings in the problems view rather than the hundred or so we have now.",APSTUD-2853,
"New From Template should list all possible file types, and provide a template option for each Some file types YAML for instance don t really have a default template. It basically consists of an empty document just so that we can make sure there is an entry in the New... menu. Suggest instead scanning the bundles, and if a file type does not have a template attached, suggest creating a entry File Type Blank File for each. This will also make it easier once we convert File New From Template to create untitled files, and cut down on the number of unnecessary templates created.",APSTUD-2854,
"Create Aptana Studio Start Page This would crib from the Titanium Studio start page with a few differences The page should show on first startup, and after each update. The page would contain the following content Link to documentation Link to how to install SVN, DB, other plugins Link to how to install a JS library Link or iframe of release notes for latest released version Link iframe of Stack Overflow questions",APSTUD-2901,
"Add Submit a Bug feature to Aptana Studio Help menu This would crib from the previous implementation we had for Aptana Studio some years ago User needs to set up their JIRA account. There should be a preference area for that When filing a bug, ask them the following A summary of the issue mandatory ",APSTUD-2916,
"Notify Studio 2 users that there is an upgrade to Studio 3 This probably should be something both on the home page, in the views, and also perhaps a popup? Tell them about the new features Direct them on how to install the new version Show them the migration guide",APSTUD-2941,
"Can t set breakpoint in haml ruby templates Editor does not allow setting of ruby breakpoints in haml view templates on lines with ruby code starting with and These ruby code lines should be breakpointable just like in erb templates. If there is a workaround, please describe in detail. Thanks, tv ",APSTUD-2999,
"Support ftp scheme using EFS filesystem extension We should support using ftp URIs in the EFS filesystem API using our existing infrastructure. Forget handling passwords prefs, just assume the URI contains the info needed to connect i.e. Users will be able to see use this in the HTML editor by trying to get Content Assist on a public anonymous FTP site, by enter in a and then hitting Ctrl Space at the which is where the cursor should be, not something user actually types and getting back the folders pub , incoming and conf as options.",APSTUD-3014,
Upgrade Hudson to latest version ,APSTUD-3045,
Support for Mac OS X Lion Full Screen View Mac OS X Lion has a full screen feature for a lot of native apps. It would be great for Aptana to have a feature like this.,APSTUD-3053,
"Create FindBugs Profile appropriate for validating code correctness The default FindBugs profile is too strict for our current code base. We need to create a more limited profile that we can use to validate all committed code for possible errors. Please create a profile, run it against some of our current source code to see if it reports what is expected, and pass it around to the other developers for confirmation.",APSTUD-3100,
"Create PMD profile to validate Studio code The default PMD profile is too strict for our purposes. Create a default PMD profile all developers can use to validate code correctness before checkin. Please create a profile, run it against some of our current source code to see if it reports what is expected, and pass it around to the other developers for confirmation.",APSTUD-3101,
"Upgrade Unit Test Coverage Our current unit test coverage hovers around 30 class, method, block, and line We need to get this higher. Here are the classes we need to test Please create a sub task for the class you want to test, and edit the document to indicate you ve claimed that test. If there already is a task created for a particular class, it means someone else has claimed that one, so choose another. If there are a bunch of related classes, you can group that into one task. Coverage goals for all classes below is a minimum of 100 class, 70 method, 80 block, 80 line default Emma values in Jenkins ObjectPool ReapingObjectPool StreamUtil URIUtil",APSTUD-3130,
Update Studio version from 3.0.4 to 3.0.5 ,APSTUD-3132,
"Convert cygwin paths to Windows paths in ENV when executing process outside Terminal We ran into an issue with PATH holding cygwin paths on Windows breaking git clones. I added a method to convert between the two, but we need to make sure we convert anywhere we re not executing inside the Terminal bash.",APSTUD-3149,
"Support Javascript go to definition hyperlinks This comes from trying to close APSTUD 46, which must have been a Studio 2.x ticket. We should support Ctrl Clicking to go to definition for Javascript functions, variables, properties.",APSTUD-3189,
Add console.debug selector to default themes ,APSTUD-3368,
PHP Add Open Type Method PHP feature One feature that is sorely missed is Open Type in the Eclipse PHP PDT. Attached is a screenshot of the feature in Eclipse PDT.,APSTUD-3376,
Upgrade packaged JRuby to 1.6.4 We currently use JRuby 1.6.3 which has at least one bug causing issues for Turkish users.,APSTUD-3380,
"Upgrade jrubyparser plugin to latest from github There are 1.9 syntax fixes int he latest jrubyparser source. I ll need to clone it, compile, put the new binaries in our plugin and then perform any fixes afterwards as a result of any API changes.",APSTUD-3381,
Update FTP Library to 3.9.1 EDT released a new update of the FTPPro library ,APSTUD-3402,
"Add cherry pick support for Git We currently have no support for doing cherry picks for Git, so I have to resort to the command line for this. It d be nice to add it.",APSTUD-3427,
"Improve the PHP outline to display a true nesting of HTML nodes We should display PHP nodes nested correctly inside HTML nodes, and vice verse.",APSTUD-3430,
Remove the dependency com.aptana.core plugin has on The dependency is causing a lot of inconvenience on what could depend on and should be removed. ,APSTUD-3431,
"TiStudio Git clone from address instead of A customer is requesting to add http git access in TiStudio. Sometimes, if you are behind a firewall, git is inaccessible this way git clone but you can still use http git clone The http is not currently working in Ti Studio. This is a feature request to add it.",APSTUD-3456,
"Confirm Token Scanners are updated to handle multiple queries for the same token Related to bug APSTUD 3457, we need to confirm that all Token Scanners have been updated such that querying the scanner multiple times for the same token results in the same returned length and offset.",APSTUD-3482,
"Button on the toolbar for option Show white space characters Create a quick button on the toolbar for Aptana option Show white space characters , please Not easy go to the menu every time for Show Hide white space characters",APSTUD-3521,
"Drop files from the remote view to a local folder Hi, it would be very usefull if i could drag some files or folders from the remote view to a local folder on the desktop or any other folder in the fiel browser. The other way from the local folder to the remote view already works fine! This would be very usefull if you have to download some files without to configure the ftp connection in filezilla or any other FTP Client. I searched for already reported tickets, but don t found anythink. If i missed it, sorry for that! Greetings Leo",APSTUD-3552,
