key,quality,created,
COMPASS-2654,0.7222222222222222,2018-03-20T23:10:00.000+0000,
COMPASS-2653,1.0,2018-03-20T23:09:59.000+0000,
COMPASS-2652,1.0,2018-03-20T23:09:58.000+0000,
COMPASS-2651,1.0,2018-03-20T23:09:57.000+0000,
COMPASS-2643,1.0,2018-03-14T15:48:45.000+0000,
COMPASS-2642,1.0,2018-03-14T15:46:31.000+0000,
COMPASS-2582,0.8333333333333334,2018-03-03T00:25:34.000+0000,
COMPASS-2572,0.8888888888888888,2018-02-27T18:23:42.000+0000,
COMPASS-2570,0.8888888888888888,2018-02-26T21:43:35.000+0000,
COMPASS-2562,0.8888888888888888,2018-02-21T16:33:52.000+0000,
COMPASS-2555,0.8333333333333334,2018-02-20T15:24:41.000+0000,
COMPASS-2523,1.0,2018-02-08T17:25:02.000+0000,
COMPASS-2522,0.8888888888888888,2018-02-08T14:52:37.000+0000,
COMPASS-2502,0.8888888888888888,2018-02-02T22:19:42.000+0000,
COMPASS-2500,1.0,2018-02-01T23:18:39.000+0000,
COMPASS-2499,0.8888888888888888,2018-01-31T19:22:22.000+0000,
COMPASS-2498,0.8333333333333334,2018-01-31T16:57:54.000+0000,
COMPASS-2495,0.8333333333333334,2018-01-27T22:46:32.000+0000,
COMPASS-2487,1.0,2018-01-24T21:37:33.000+0000,
COMPASS-2486,1.0,2018-01-24T21:37:01.000+0000,
COMPASS-2485,1.0,2018-01-24T21:36:27.000+0000,
COMPASS-2467,0.8888888888888888,2018-01-22T16:03:00.000+0000,
COMPASS-2454,0.8888888888888888,2018-01-10T22:05:07.000+0000,
COMPASS-2445,1.0,2018-01-09T09:43:16.000+0000,
COMPASS-2437,1.0,2018-01-04T22:11:42.000+0000,
COMPASS-2435,1.0,2018-01-02T22:39:31.000+0000,
COMPASS-2433,1.0,2018-01-02T22:29:54.000+0000,
COMPASS-2406,0.8888888888888888,2017-12-15T11:47:31.000+0000,
COMPASS-2405,0.8888888888888888,2017-12-15T11:45:14.000+0000,
COMPASS-2403,0.8888888888888888,2017-12-15T11:41:55.000+0000,
COMPASS-2390,0.8888888888888888,2017-11-30T21:01:04.000+0000,
COMPASS-2387,0.8888888888888888,2017-11-30T20:52:29.000+0000,
COMPASS-2386,0.8333333333333334,2017-11-30T20:48:39.000+0000,
COMPASS-2384,0.8888888888888888,2017-11-30T20:40:46.000+0000,
COMPASS-2383,1.0,2017-11-30T20:09:14.000+0000,
COMPASS-2381,0.8888888888888888,2017-11-30T07:57:05.000+0000,
COMPASS-2380,1.0,2017-11-29T18:48:46.000+0000,
COMPASS-2377,1.0,2017-11-29T17:36:51.000+0000,
COMPASS-2340,1.0,2017-11-15T19:07:58.000+0000,
COMPASS-2313,0.8888888888888888,2017-11-15T00:46:27.000+0000,
COMPASS-2298,0.8888888888888888,2017-11-13T11:25:26.000+0000,
COMPASS-2285,0.8888888888888888,2017-11-06T21:08:32.000+0000,
COMPASS-2283,0.8333333333333334,2017-11-06T21:01:41.000+0000,
COMPASS-2282,1.0,2017-11-06T20:58:33.000+0000,
COMPASS-2281,1.0,2017-11-06T20:57:13.000+0000,
COMPASS-2272,1.0,2017-11-06T20:47:11.000+0000,
COMPASS-2266,0.8888888888888888,2017-11-03T17:50:34.000+0000,
COMPASS-2265,1.0,2017-11-03T17:49:18.000+0000,
COMPASS-2264,1.0,2017-11-03T17:46:18.000+0000,
COMPASS-2181,1.0,2017-10-08T07:09:36.000+0000,
COMPASS-2130,1.0,2017-09-28T16:16:28.000+0000,
COMPASS-2053,1.0,2017-09-20T15:52:15.000+0000,
COMPASS-2052,1.0,2017-09-20T15:50:41.000+0000,
COMPASS-115,1.0,2016-10-08T19:15:19.000+0000,
