key,quality,fields.created,
DNN-6667,0.8333333333333334,2015-02-26T18:02:06.000-0800,
DNN-6666,0.6666666666666667,2015-02-26T17:59:36.000-0800,
DNN-6658,0.8333333333333334,2015-02-25T10:59:32.000-0800,
DNN-6657,0.6666666666666667,2015-02-25T10:55:53.000-0800,
DNN-6656,0.6666666666666667,2015-02-25T10:11:10.000-0800,
DNN-6655,0.5,2015-02-25T10:07:52.000-0800,
DNN-6654,0.8333333333333334,2015-02-25T09:52:20.000-0800,
DNN-6653,0.8333333333333334,2015-02-25T09:25:25.000-0800,
DNN-6652,0.8888888888888888,2015-02-25T08:45:47.000-0800,
DNN-6651,0.7222222222222222,2015-02-25T08:18:51.000-0800,
DNN-6650,0.8333333333333334,2015-02-25T08:12:50.000-0800,
DNN-6645,0.5,2015-02-25T06:36:37.000-0800,
DNN-6644,0.6666666666666667,2015-02-25T06:21:50.000-0800,
DNN-6643,0.8333333333333334,2015-02-25T05:41:43.000-0800,
DNN-6640,0.7222222222222222,2015-02-24T22:01:30.000-0800,
DNN-6639,0.5,2015-02-24T20:53:50.000-0800,
DNN-6637,0.6666666666666667,2015-02-24T20:22:29.000-0800,
DNN-6631,0.6666666666666667,2015-02-23T09:29:15.000-0800,
DNN-6630,0.8333333333333334,2015-02-22T18:38:15.000-0800,
DNN-6629,0.6666666666666667,2015-02-22T07:54:01.000-0800,
DNN-6628,0.6666666666666667,2015-02-22T05:25:04.000-0800,
DNN-6627,0.6666666666666667,2015-02-22T05:22:39.000-0800,
DNN-6618,0.6666666666666667,2015-02-19T09:13:18.000-0800,
DNN-6616,0.6666666666666667,2015-02-19T07:57:04.000-0800,
DNN-6506,0.6666666666666667,2015-01-26T06:21:47.000-0800,
DNN-6380,0.6666666666666667,2015-01-07T18:06:40.000-0800,
DNN-6234,0.8333333333333334,2014-12-11T04:21:16.000-0800,
DNN-6216,0.8333333333333334,2014-12-09T12:31:38.000-0800,
DNN-6084,0.8333333333333334,2014-09-30T18:51:42.000-0700,
DNN-5992,0.8333333333333334,2014-10-16T05:14:18.000-0700,
DNN-5262,0.8333333333333334,2014-04-30T10:10:46.000-0700,
