key,quality,fields.created,
XD-3715,0.8888888888888888,2015-11-30T15:11:45.000+0000,
XD-3714,0.8888888888888888,2015-11-30T14:33:00.000+0000,
XD-3708,0.8888888888888888,2015-11-16T19:16:45.000+0000,
XD-3705,0.8888888888888888,2015-11-12T15:57:58.000+0000,
XD-3702,0.8888888888888888,2015-11-11T16:48:34.000+0000,
XD-3701,0.8333333333333334,2015-11-11T15:44:36.000+0000,
XD-3696,0.8888888888888888,2015-11-09T16:25:19.000+0000,
XD-3695,0.8333333333333334,2015-11-09T16:24:29.000+0000,
XD-3693,0.8333333333333334,2015-11-06T16:15:53.000+0000,
XD-3692,0.8888888888888888,2015-11-06T16:09:22.000+0000,
XD-3690,0.8333333333333334,2015-11-05T21:23:45.000+0000,
XD-3689,0.8333333333333334,2015-11-05T14:03:33.000+0000,
XD-3687,0.8333333333333334,2015-11-04T16:37:10.000+0000,
XD-3682,0.8888888888888888,2015-11-02T17:24:11.000+0000,
XD-3681,0.8333333333333334,2015-11-02T17:23:46.000+0000,
XD-3680,0.8333333333333334,2015-11-02T17:23:16.000+0000,
XD-3679,0.8333333333333334,2015-11-02T17:21:37.000+0000,
XD-3678,0.8333333333333334,2015-11-02T17:20:59.000+0000,
XD-3675,0.8888888888888888,2015-11-02T17:13:36.000+0000,
XD-3672,0.8888888888888888,2015-11-02T15:34:40.000+0000,
XD-3671,0.8888888888888888,2015-11-02T01:09:44.000+0000,
XD-3670,0.8333333333333334,2015-10-30T23:49:41.000+0000,
XD-3669,0.8888888888888888,2015-10-30T23:17:51.000+0000,
XD-3668,0.8888888888888888,2015-10-30T23:12:40.000+0000,
XD-3666,0.8333333333333334,2015-10-30T23:04:45.000+0000,
XD-3664,0.8888888888888888,2015-10-30T22:59:57.000+0000,
XD-3662,0.8888888888888888,2015-10-30T22:47:27.000+0000,
XD-3659,0.8888888888888888,2015-10-30T22:38:41.000+0000,
XD-3656,0.8333333333333334,2015-10-29T15:25:32.000+0000,
XD-3654,0.8888888888888888,2015-10-29T14:47:35.000+0000,
XD-3649,0.8888888888888888,2015-10-27T22:59:38.000+0000,
XD-3644,0.8888888888888888,2015-10-26T18:54:06.000+0000,
XD-3641,0.8888888888888888,2015-10-23T14:14:04.000+0000,
XD-3639,0.8333333333333334,2015-10-23T12:13:38.000+0000,
XD-3637,0.8888888888888888,2015-10-21T21:54:37.000+0000,
XD-3636,0.8888888888888888,2015-10-21T21:53:01.000+0000,
XD-3635,0.8888888888888888,2015-10-21T21:41:10.000+0000,
XD-3633,0.8333333333333334,2015-10-19T22:31:37.000+0000,
XD-3631,0.8888888888888888,2015-10-19T21:36:42.000+0000,
XD-3627,0.8888888888888888,2015-10-19T16:02:05.000+0000,
XD-3624,0.8888888888888888,2015-10-19T14:11:32.000+0000,
XD-3622,0.8888888888888888,2015-10-18T14:48:21.000+0000,
XD-3619,0.8888888888888888,2015-10-14T23:26:03.000+0000,
XD-3618,0.8888888888888888,2015-10-14T23:21:48.000+0000,
XD-3617,0.8333333333333334,2015-10-14T14:51:41.000+0000,
XD-3616,0.8333333333333334,2015-10-14T11:12:09.000+0000,
XD-3615,0.8333333333333334,2015-10-14T10:03:37.000+0000,
XD-3608,0.8333333333333334,2015-10-10T23:32:16.000+0000,
XD-3607,0.8333333333333334,2015-10-10T23:31:28.000+0000,
XD-3606,0.8333333333333334,2015-10-10T23:30:41.000+0000,
XD-3605,0.8333333333333334,2015-10-10T23:30:00.000+0000,
XD-3603,0.8888888888888888,2015-10-07T20:51:09.000+0000,
XD-3602,0.8888888888888888,2015-10-07T19:58:48.000+0000,
XD-3601,0.8333333333333334,2015-10-07T17:50:58.000+0000,
XD-3597,0.7222222222222222,2015-10-06T15:46:36.000+0000,
XD-3596,0.8333333333333334,2015-10-06T14:58:53.000+0000,
XD-3595,0.8888888888888888,2015-10-06T14:42:48.000+0000,
XD-3594,0.8888888888888888,2015-10-05T22:45:31.000+0000,
XD-3593,0.8888888888888888,2015-10-05T22:38:13.000+0000,
XD-3592,0.8333333333333334,2015-10-05T20:35:02.000+0000,
XD-3589,0.8333333333333334,2015-10-05T17:40:45.000+0000,
XD-3587,0.8888888888888888,2015-10-05T16:23:18.000+0000,
XD-3586,0.8888888888888888,2015-10-05T16:22:55.000+0000,
XD-3585,0.8888888888888888,2015-10-05T16:22:14.000+0000,
XD-3583,0.8888888888888888,2015-10-05T15:29:55.000+0000,
XD-3582,0.8888888888888888,2015-10-05T14:52:18.000+0000,
XD-3581,0.8888888888888888,2015-10-05T14:40:18.000+0000,
XD-3580,0.8333333333333334,2015-10-05T14:01:03.000+0000,
XD-3578,0.8888888888888888,2015-10-02T22:53:06.000+0000,
XD-3576,0.8333333333333334,2015-10-02T22:48:56.000+0000,
XD-3575,0.8888888888888888,2015-10-02T22:45:11.000+0000,
XD-3574,0.8888888888888888,2015-10-02T22:43:06.000+0000,
XD-3573,0.8888888888888888,2015-10-02T22:42:00.000+0000,
XD-3572,0.8888888888888888,2015-10-02T22:04:06.000+0000,
XD-3571,0.8888888888888888,2015-10-02T17:55:14.000+0000,
XD-3570,0.8333333333333334,2015-10-02T16:16:37.000+0000,
XD-3569,0.8333333333333334,2015-10-02T15:05:53.000+0000,
XD-3566,0.8333333333333334,2015-10-01T13:39:32.000+0000,
XD-3565,0.8888888888888888,2015-09-30T22:26:42.000+0000,
XD-3563,0.8888888888888888,2015-09-30T22:10:58.000+0000,
XD-3560,0.8333333333333334,2015-09-30T08:09:36.000+0000,
XD-3559,0.8888888888888888,2015-09-29T22:10:02.000+0000,
